"","beta","HR (95% CI for HR)","wald.test","p.value"
"G79940","-0.51","0.6 (0.46-0.79)","14","0.00024"
"G54457","-0.16","0.85 (0.65-1.1)","1.4","0.23"
"G55701","-0.89","0.41 (0.23-0.75)","8.3","0.004"
"G389136","-0.27","0.76 (0.57-1)","3.1","0.076"
"G10858","-0.41","0.67 (0.5-0.89)","7.4","0.0066"
"G10686","-0.18","0.84 (0.65-1.1)","1.9","0.17"
"G54852","-0.39","0.68 (0.5-0.92)","6.4","0.012"
"G26575","0.18","1.2 (0.99-1.4)","3.4","0.064"
"G23491","0.094","1.1 (0.84-1.4)","0.47","0.49"
"G51206","-0.43","0.65 (0.46-0.92)","5.9","0.015"
"G58157","0.31","1.4 (0.9-2.1)","2.2","0.14"
"G55103","0.48","1.6 (1-2.5)","4.3","0.039"
"G25823","0.19","1.2 (0.86-1.7)","1.2","0.27"
"G80000","0.41","1.5 (0.95-2.4)","3","0.081"
"G51149","-0.36","0.7 (0.47-1)","3.3","0.068"
"G80267","0.68","2 (1.1-3.7)","4.5","0.035"
"G27115","-0.48","0.62 (0.41-0.93)","5.2","0.022"
"G56673","-0.15","0.86 (0.71-1)","2.3","0.13"
"G80059","-0.6","0.55 (0.42-0.72)","19","1.6e-05"
"G64772","-1.3","0.27 (0.14-0.54)","14","0.00018"
"G51554","-0.11","0.9 (0.67-1.2)","0.49","0.48"
"G645644","-0.12","0.89 (0.59-1.3)","0.32","0.57"
"G55199","-0.26","0.77 (0.37-1.6)","0.48","0.49"
"G100289410","0.091","1.1 (0.78-1.5)","0.28","0.6"
"G55193","-1.6","0.19 (0.072-0.52)","10","0.0012"
"G10699","0.28","1.3 (1-1.7)","5.1","0.024"
"G10110","-0.1","0.9 (0.66-1.2)","0.4","0.53"
"G55509","0.2","1.2 (0.69-2.2)","0.46","0.5"
"G79725","-0.94","0.39 (0.22-0.67)","11","0.00076"
"G170679","0.042","1 (0.79-1.4)","0.09","0.77"
"G54508","-0.5","0.6 (0.4-0.92)","5.5","0.019"
"G55821","0.3","1.4 (0.98-1.9)","3.4","0.063"
"G64100","-0.0054","0.99 (0.66-1.5)","0","0.98"
"G79595","-0.23","0.8 (0.18-3.6)","0.09","0.76"
"G55671","-1.8","0.17 (0.072-0.41)","16","6.7e-05"
"G56996","0.77","2.2 (1-4.5)","4","0.044"
"G54943","-0.39","0.68 (0.39-1.2)","1.9","0.17"
"G54798","-0.0014","1 (0.72-1.4)","0","0.99"
"G54813","-1.3","0.28 (0.095-0.82)","5.4","0.021"
"G100996485","-0.17","0.85 (0.38-1.9)","0.16","0.69"
"G64922","0.1","1.1 (0.86-1.4)","0.66","0.42"
"G6954","0.15","1.2 (0.92-1.5)","1.6","0.21"
"G29999","0.33","1.4 (0.93-2.1)","2.6","0.11"
"G58511","-0.029","0.97 (0.81-1.2)","0.09","0.76"
"G79822","-0.12","0.89 (0.61-1.3)","0.4","0.53"
"G64240","0.21","1.2 (0.97-1.6)","3","0.082"
"G51314","-0.051","0.95 (0.77-1.2)","0.22","0.64"
"G11147","0.18","1.2 (0.66-2.2)","0.35","0.56"
"G80307","0.27","1.3 (0.94-1.8)","2.5","0.11"
"G60494","-0.43","0.65 (0.46-0.9)","6.5","0.011"
"G79841","-0.13","0.88 (0.66-1.2)","0.84","0.36"
"G51557","0.034","1 (0.92-1.2)","0.34","0.56"
"G26281","-0.013","0.99 (0.79-1.2)","0.01","0.91"
"G79854","-0.52","0.59 (0.36-1)","3.9","0.048"
"G79860","-0.77","0.46 (0.28-0.77)","8.9","0.0029"
"G63970","0.35","1.4 (0.88-2.3)","2","0.15"
"G79883","-0.5","0.61 (0.3-1.2)","1.9","0.17"
"G10089","0.33","1.4 (0.68-2.8)","0.8","0.37"
"G29986","-0.14","0.87 (0.64-1.2)","0.72","0.4"
"G51806","0.041","1 (0.8-1.3)","0.1","0.75"
"G51086","-0.53","0.59 (0.42-0.83)","9.2","0.0024"
"G100526835","-0.21","0.81 (0.66-0.99)","4","0.044"
"G79895","0.064","1.1 (0.62-1.8)","0.05","0.82"
"G51078","0.87","2.4 (1.1-5.2)","5","0.026"
"G53347","-0.25","0.78 (0.55-1.1)","2","0.16"
"G79748","0.0016","1 (0.7-1.4)","0","0.99"
"G79908","0.053","1.1 (0.86-1.3)","0.27","0.61"
"G50613","0.17","1.2 (0.86-1.6)","1","0.31"
"G26279","0.11","1.1 (0.94-1.3)","1.6","0.21"
"G7827","-0.13","0.88 (0.67-1.1)","0.87","0.35"
"G152015","0.13","1.1 (0.86-1.5)","0.87","0.35"
"G79025","0.24","1.3 (1-1.5)","5.2","0.022"
"G50489","0.0041","1 (0.83-1.2)","0","0.97"
"G9348","0.28","1.3 (0.96-1.8)","3","0.085"
"G79927","-0.34","0.71 (0.53-0.96)","4.9","0.027"
"G28983","0.12","1.1 (0.99-1.3)","3.2","0.076"
"G79057","0.15","1.2 (0.73-1.8)","0.38","0.54"
"G79934","-0.7","0.5 (0.31-0.79)","8.7","0.0031"
"G55532","0.015","1 (0.83-1.2)","0.02","0.89"
"G643827","-0.32","0.72 (0.47-1.1)","2.2","0.14"
"G55908","-0.77","0.46 (0.28-0.77)","8.7","0.0032"
"G54814","0.43","1.5 (0.81-2.9)","1.7","0.19"
"G29124","-0.077","0.93 (0.68-1.3)","0.24","0.63"
"G79962","0.43","1.5 (1.1-2.1)","6.6","0.01"
"G8693","0.48","1.6 (1.1-2.3)","7.6","0.0058"
"G100528030","0.48","1.6 (1.1-2.3)","7.6","0.0058"
"G25806","-0.0014","1 (0.52-1.9)","0","1"
"G79230","0.31","1.4 (0.56-3.4)","0.46","0.5"
"G389903","0.071","1.1 (0.88-1.3)","0.49","0.48"
"G102723547","0.071","1.1 (0.88-1.3)","0.49","0.48"
"G10164","0.32","1.4 (1.1-1.7)","6.5","0.011"
"G56660","0.41","1.5 (1.3-1.8)","19","1.1e-05"
"G79444","-0.97","0.38 (0.16-0.88)","5.1","0.024"
"G23539","-0.18","0.84 (0.62-1.1)","1.3","0.26"
"G55304","-0.58","0.56 (0.44-0.71)","23","1.6e-06"
"G55095","-0.43","0.65 (0.3-1.4)","1.2","0.28"
"G53919","-0.48","0.62 (0.36-1.1)","2.9","0.089"
"G80054","-1.2","0.29 (0.13-0.64)","9.5","0.0021"
"G80071","-0.64","0.53 (0.26-1.1)","3","0.085"
"G80117","0.15","1.2 (1-1.3)","5","0.025"
"G51272","0.51","1.7 (1.1-2.6)","4.9","0.028"
"G80177","-0.7","0.5 (0.31-0.8)","8.5","0.0035"
"G89874","-0.053","0.95 (0.65-1.4)","0.07","0.78"
"G64078","0.45","1.6 (1.2-2)","11","0.0011"
"G55924","-1","0.36 (0.19-0.65)","11","0.00089"
"G101928718","-1","0.36 (0.19-0.65)","11","0.00089"
"G29058","0.95","2.6 (0.98-6.8)","3.7","0.056"
"G80831","0.42","1.5 (0.89-2.6)","2.4","0.12"
"G29034","-0.14","0.87 (0.65-1.2)","0.95","0.33"
"G9464","-0.056","0.95 (0.54-1.7)","0.04","0.85"
"G10936","-0.22","0.8 (0.59-1.1)","1.9","0.17"
"G26297","-0.16","0.85 (0.45-1.6)","0.24","0.63"
"G25897","-0.084","0.92 (0.47-1.8)","0.06","0.8"
"G55423","-0.077","0.93 (0.65-1.3)","0.18","0.67"
"G84187","-0.63","0.53 (0.29-0.99)","4","0.046"
"G101928589","-0.63","0.53 (0.29-0.99)","4","0.046"
"G54828","-0.13","0.87 (0.41-1.8)","0.12","0.73"
"G347735","-0.24","0.78 (0.46-1.3)","0.82","0.36"
"G57817","0.56","1.7 (1.1-2.7)","6.2","0.013"
"G1761","0.029","1 (0.81-1.3)","0.06","0.81"
"G79770","-0.055","0.95 (0.39-2.3)","0.01","0.9"
"G51266","-0.38","0.68 (0.5-0.93)","5.7","0.017"
"G7761","0.16","1.2 (0.74-1.9)","0.45","0.5"
"G10880","0.34","1.4 (1.1-1.9)","5.6","0.019"
"G54752","-0.11","0.9 (0.68-1.2)","0.6","0.44"
"G10881","-0.19","0.82 (0.61-1.1)","1.7","0.19"
"G6561","-0.12","0.89 (0.66-1.2)","0.64","0.42"
"G11081","0.17","1.2 (0.88-1.6)","1.2","0.27"
"G51198","0.079","1.1 (0.83-1.4)","0.33","0.57"
"G2974","-0.14","0.87 (0.72-1)","2.3","0.13"
"G51733","-0.2","0.82 (0.5-1.4)","0.61","0.44"
"G150160","0.29","1.3 (1-1.8)","3.9","0.049"
"G57127","0.25","1.3 (0.92-1.8)","2.2","0.14"
"G100129128","-0.037","0.96 (0.75-1.2)","0.09","0.77"
"G63904","0.21","1.2 (0.92-1.7)","2","0.16"
"G54993","0.42","1.5 (0.9-2.6)","2.4","0.12"
"G3982","0.092","1.1 (0.83-1.5)","0.42","0.52"
"G54830","0.34","1.4 (0.93-2.1)","2.6","0.11"
"G55054","-0.85","0.43 (0.19-0.94)","4.4","0.035"
"G23418","-0.4","0.67 (0.49-0.92)","6","0.014"
"G80258","-0.44","0.65 (0.44-0.94)","5.1","0.024"
"G550","1","2.8 (1.2-6.5)","6.1","0.013"
"G55052","0.0077","1 (0.51-2)","0","0.98"
"G79904","-0.19","0.83 (0.55-1.2)","0.89","0.34"
"G28959","0.73","2.1 (1.3-3.2)","10","0.0015"
"G79097","-0.21","0.81 (0.56-1.2)","1.3","0.25"
"G399939","-0.21","0.81 (0.56-1.2)","1.3","0.25"
"G729384","-0.21","0.81 (0.56-1.2)","1.3","0.25"
"G101930235","-0.21","0.81 (0.56-1.2)","1.3","0.25"
"G55138","-0.13","0.88 (0.66-1.2)","0.8","0.37"
"G55237","-0.17","0.84 (0.6-1.2)","0.91","0.34"
"G55613","0.59","1.8 (1.1-3.1)","4.7","0.03"
"G142689","0.32","1.4 (0.77-2.5)","1.2","0.28"
"G79924","0.78","2.2 (1.5-3.1)","19","1.1e-05"
"G56547","-0.22","0.81 (0.6-1.1)","2","0.16"
"G51297","0.14","1.1 (1-1.3)","4.6","0.033"
"G56245","0.13","1.1 (0.74-1.8)","0.37","0.54"
"G60385","-0.36","0.7 (0.48-1)","3.4","0.065"
"G101929115","-0.46","0.63 (0.4-1)","3.9","0.048"
"G54537","0.64","1.9 (0.63-5.7)","1.3","0.25"
"G10343","-0.18","0.83 (0.64-1.1)","1.9","0.17"
"G100861412","0.081","1.1 (0.63-1.9)","0.09","0.77"
"G26272","-0.17","0.84 (0.45-1.6)","0.3","0.58"
"G57084","-0.22","0.8 (0.64-1)","3.4","0.067"
"G7224","0.44","1.6 (1.1-2.2)","5.8","0.016"
"G55015","-1.9","0.15 (0.064-0.37)","17","3.2e-05"
"G79955","-0.22","0.8 (0.59-1.1)","2.2","0.14"
"G23439","-0.091","0.91 (0.64-1.3)","0.26","0.61"
"G55690","-0.14","0.87 (0.43-1.8)","0.14","0.7"
"G10077","0.11","1.1 (0.62-2)","0.15","0.7"
"G2019","0.36","1.4 (0.86-2.4)","1.9","0.17"
"G51214","-0.17","0.85 (0.58-1.2)","0.75","0.39"
"G54905","0.34","1.4 (0.81-2.4)","1.5","0.23"
"G50944","-0.032","0.97 (0.74-1.3)","0.05","0.82"
"G55328","-0.34","0.71 (0.36-1.4)","1","0.31"
"G2826","0.21","1.2 (0.81-1.9)","1","0.32"
"G23533","0.12","1.1 (0.7-1.8)","0.25","0.62"
"G55448","-0.15","0.86 (0.66-1.1)","1.3","0.26"
"G56729","-0.43","0.65 (0.52-0.82)","13","0.00031"
"G100506282","0.14","1.1 (0.63-2.1)","0.2","0.66"
"G43847","0.12","1.1 (0.79-1.6)","0.46","0.5"
"G80031","-1.1","0.33 (0.19-0.6)","14","0.00021"
"G80039","-0.61","0.54 (0.31-0.94)","4.8","0.028"
"G54507","-0.44","0.64 (0.38-1.1)","2.6","0.1"
"G80129","-0.11","0.9 (0.61-1.3)","0.29","0.59"
"G80164","0.2","1.2 (0.98-1.5)","3.1","0.078"
"G80201","0.4","1.5 (1-2.2)","4.1","0.044"
"G64223","-0.064","0.94 (0.47-1.9)","0.03","0.85"
"G29951","-0.037","0.96 (0.75-1.2)","0.09","0.77"
"G54865","-0.6","0.55 (0.22-1.4)","1.6","0.2"
"G54859","0.21","1.2 (0.47-3.2)","0.18","0.67"
"G80262","-0.71","0.49 (0.25-0.95)","4.4","0.035"
"G80154","-0.97","0.38 (0.23-0.64)","13","0.00027"
"G388152","-0.98","0.38 (0.23-0.61)","16","8.1e-05"
"G642423","-0.98","0.38 (0.23-0.61)","16","8.1e-05"
"G727751","-0.98","0.38 (0.23-0.61)","16","8.1e-05"
"G101929479","-0.98","0.38 (0.23-0.61)","16","8.1e-05"
"G10841","1.9","6.8 (3.7-13)","38","5.5e-10"
"G56985","-0.18","0.83 (0.34-2.1)","0.16","0.69"
"G51497","0.4","1.5 (0.75-3)","1.3","0.25"
"G202181","-0.44","0.64 (0.43-0.97)","4.5","0.034"
"G1600","-1.1","0.34 (0.14-0.79)","6.3","0.012"
"G54843","0.49","1.6 (0.96-2.7)","3.3","0.068"
"G79747","-0.13","0.88 (0.75-1)","2.3","0.13"
"G55205","0.28","1.3 (0.61-2.9)","0.52","0.47"
"G55063","-0.1","0.9 (0.62-1.3)","0.26","0.61"
"G54544","-0.23","0.79 (0.63-1)","3.6","0.056"
"G2301","-0.018","0.98 (0.68-1.4)","0.01","0.92"
"G79782","-0.21","0.81 (0.7-0.94)","8","0.0047"
"G2001","-0.096","0.91 (0.76-1.1)","1.1","0.3"
"G51156","0.22","1.3 (0.95-1.6)","2.6","0.1"
"G10047","0.12","1.1 (0.78-1.6)","0.41","0.52"
"G54549","-0.82","0.44 (0.24-0.8)","7.3","0.007"
"G55539","-0.34","0.71 (0.54-0.94)","5.6","0.017"
"G27159","-0.14","0.87 (0.71-1)","2.2","0.14"
"G64172","-1.4","0.24 (0.091-0.61)","9","0.0027"
"G29954","-0.22","0.8 (0.3-2.2)","0.19","0.66"
"G9496","-0.3","0.74 (0.59-0.93)","6.5","0.011"
"G170680","0.18","1.2 (0.76-1.9)","0.61","0.44"
"G64446","-0.05","0.95 (0.77-1.2)","0.22","0.64"
"G79843","-0.42","0.66 (0.46-0.93)","5.5","0.019"
"G23624","0.69","2 (1.4-2.7)","18","2.3e-05"
"G79853","0.092","1.1 (0.89-1.4)","0.71","0.4"
"G53944","-0.093","0.91 (0.28-2.9)","0.02","0.88"
"G51463","0.086","1.1 (0.5-2.4)","0.05","0.83"
"G653519","0.086","1.1 (0.5-2.4)","0.05","0.83"
"G55179","-0.53","0.59 (0.27-1.3)","1.7","0.19"
"G54827","0.29","1.3 (0.95-1.9)","2.8","0.096"
"G51348","-0.27","0.76 (0.56-1)","2.8","0.094"
"G51287","1.3","3.5 (1.9-6.5)","16","5e-05"
"G105","-1","0.35 (0.23-0.55)","22","2.9e-06"
"G55388","0.46","1.6 (1.2-2.1)","11","0.00079"
"G347240","0.2","1.2 (0.94-1.6)","2.3","0.13"
"G23619","-0.49","0.61 (0.38-0.99)","4","0.044"
"G23614","-0.073","0.93 (0.6-1.4)","0.11","0.74"
"G79931","-0.049","0.95 (0.73-1.2)","0.14","0.71"
"G55175","0.35","1.4 (1-1.9)","5","0.025"
"G56938","0.43","1.5 (1.2-1.9)","16","8.2e-05"
"G55262","-0.045","0.96 (0.59-1.5)","0.03","0.85"
"G55657","-0.85","0.43 (0.23-0.78)","7.7","0.0056"
"G26508","-0.83","0.44 (0.21-0.91)","4.9","0.026"
"G11141","-0.16","0.85 (0.58-1.2)","0.69","0.41"
"G6702","-0.08","0.92 (0.74-1.1)","0.52","0.47"
"G51213","0.12","1.1 (0.86-1.5)","0.77","0.38"
"G1789","-0.22","0.81 (0.41-1.6)","0.4","0.53"
"G57718","-0.18","0.84 (0.56-1.3)","0.74","0.39"
"G80339","0.041","1 (0.76-1.4)","0.07","0.8"
"G11095","-0.3","0.74 (0.6-0.91)","8.2","0.0042"
"G55025","-0.056","0.95 (0.69-1.3)","0.12","0.73"
"G55225","-0.15","0.86 (0.57-1.3)","0.55","0.46"
"G55267","0.39","1.5 (1.1-2)","6.4","0.012"
"G50700","0.17","1.2 (0.91-1.5)","1.6","0.21"
"G30009","-0.33","0.72 (0.46-1.1)","2.1","0.15"
"G54954","-0.35","0.7 (0.38-1.3)","1.3","0.25"
"G101927550","-0.026","0.97 (0.72-1.3)","0.03","0.87"
"G51154","0.88","2.4 (1.2-4.9)","6","0.014"
"G25979","0.19","1.2 (0.68-2.2)","0.42","0.52"
"G29065","-0.13","0.88 (0.55-1.4)","0.28","0.6"
"G79160","0.25","1.3 (0.94-1.8)","2.4","0.12"
"G55387","0.14","1.1 (0.77-1.7)","0.46","0.5"
"G55451","-0.22","0.8 (0.43-1.5)","0.5","0.48"
"G55853","0.17","1.2 (0.82-1.7)","0.82","0.36"
"G11173","-0.12","0.89 (0.55-1.4)","0.23","0.63"
"G80020","-0.88","0.42 (0.26-0.65)","14","0.00015"
"G80032","0.059","1.1 (0.77-1.5)","0.13","0.72"
"G80035","-0.25","0.78 (0.57-1.1)","2.7","0.1"
"G619426","-0.66","0.52 (0.3-0.89)","5.7","0.017"
"G414918","-0.28","0.76 (0.37-1.6)","0.58","0.45"
"G63978","0.12","1.1 (0.83-1.5)","0.56","0.45"
"G80072","0.058","1.1 (0.83-1.4)","0.22","0.64"
"G60482","-0.27","0.76 (0.58-1)","3.6","0.059"
"G80157","0.086","1.1 (0.86-1.4)","0.52","0.47"
"G55707","1.1","3.1 (0.94-10)","3.4","0.064"
"G80772","0.4","1.5 (0.73-3.1)","1.2","0.27"
"G57337","-2","0.14 (0.064-0.31)","24","9.1e-07"
"G80704","-0.24","0.79 (0.59-1.1)","2.6","0.1"
"G27330","-0.15","0.86 (0.61-1.2)","0.81","0.37"
"G26505","-0.65","0.52 (0.24-1.1)","2.7","0.098"
"G9990","-0.35","0.71 (0.29-1.7)","0.6","0.44"
"G101927266","0.97","2.7 (1.3-5.3)","7.8","0.0054"
"G29949","0.26","1.3 (0.92-1.8)","2.3","0.13"
"G51720","0.6","1.8 (0.55-6)","0.98","0.32"
"G29075","0.17","1.2 (0.78-1.8)","0.63","0.43"
"G51157","-0.13","0.88 (0.43-1.8)","0.12","0.73"
"G64175","0.64","1.9 (0.97-3.7)","3.5","0.063"
"G10826","-0.1","0.9 (0.54-1.5)","0.16","0.69"
"G51145","-0.033","0.97 (0.77-1.2)","0.09","0.77"
"G51084","0.58","1.8 (1-3.1)","4.5","0.034"
"G50854","-0.59","0.55 (0.25-1.2)","2.1","0.15"
"G55065","-0.12","0.89 (0.72-1.1)","1.4","0.25"
"G80700","0.59","1.8 (0.76-4.3)","1.8","0.18"
"G100616371","0.59","1.8 (0.76-4.3)","1.8","0.18"
"G54538","-0.71","0.49 (0.29-0.84)","6.8","0.0094"
"G64184","0.11","1.1 (0.9-1.4)","1","0.31"
"G79788","-0.3","0.74 (0.38-1.5)","0.75","0.39"
"G51347","1","2.8 (0.85-9)","2.8","0.092"
"G151987","1.1","3.1 (0.89-11)","3.2","0.076"
"G55679","-0.31","0.73 (0.42-1.3)","1.2","0.27"
"G1456","-0.75","0.47 (0.17-1.3)","2","0.16"
"G63920","0.11","1.1 (0.62-2)","0.13","0.72"
"G51152","-0.21","0.81 (0.68-0.98)","5","0.026"
"G60467","0.11","1.1 (0.91-1.4)","1","0.31"
"G10243","-1.1","0.34 (0.14-0.83)","5.6","0.018"
"G54808","-0.47","0.63 (0.21-1.8)","0.73","0.39"
"G3770","-0.72","0.49 (0.22-1.1)","3.1","0.076"
"G63971","-1.4","0.24 (0.1-0.53)","12","0.00054"
"G10501","-0.51","0.6 (0.33-1.1)","2.8","0.097"
"G51702","0.044","1 (0.83-1.3)","0.14","0.71"
"G50487","0.088","1.1 (0.88-1.3)","0.68","0.41"
"G50514","-0.09","0.91 (0.7-1.2)","0.41","0.52"
"G43849","0.49","1.6 (1.2-2.2)","10","0.0015"
"G64066","-0.25","0.78 (0.44-1.4)","0.8","0.37"
"G10911","0.14","1.2 (0.93-1.4)","1.6","0.21"
"G55072","1.1","2.9 (1.3-6.2)","7.2","0.0075"
"G9238","0.22","1.3 (0.49-3.2)","0.22","0.64"
"G677795","0.76","2.1 (1.2-3.7)","7.3","0.0071"
"G64232","0.062","1.1 (0.84-1.3)","0.27","0.6"
"G55511","0.11","1.1 (0.89-1.4)","0.94","0.33"
"G64388","-0.18","0.83 (0.62-1.1)","1.5","0.22"
"G57596","-0.45","0.64 (0.42-0.97)","4.4","0.036"
"G79939","-0.61","0.55 (0.18-1.7)","1.1","0.29"
"G79948","-0.5","0.61 (0.47-0.79)","14","0.00023"
"G9247","-0.037","0.96 (0.77-1.2)","0.11","0.74"
"G29766","-0.088","0.92 (0.36-2.3)","0.03","0.85"
"G51179","0.037","1 (0.64-1.7)","0.02","0.88"
"G23415","0.31","1.4 (0.95-2)","2.9","0.089"
"G57559","-0.32","0.73 (0.37-1.4)","0.84","0.36"
"G3274","-0.18","0.84 (0.5-1.4)","0.44","0.51"
"G51764","0.012","1 (0.78-1.3)","0.01","0.93"
"G3049","0.075","1.1 (0.49-2.4)","0.03","0.85"
"G51298","-0.021","0.98 (0.74-1.3)","0.02","0.88"
"G9629","0.25","1.3 (1-1.6)","5.7","0.017"
"G10394","0.36","1.4 (1.1-1.9)","6","0.014"
"G11148","0.061","1.1 (0.87-1.3)","0.35","0.55"
"G57105","0.12","1.1 (0.79-1.6)","0.45","0.5"
"G23566","-0.1","0.9 (0.65-1.2)","0.38","0.54"
"G7223","0.077","1.1 (0.72-1.6)","0.14","0.7"
"G79981","0.039","1 (0.68-1.6)","0.03","0.86"
"G2587","0.0061","1 (0.78-1.3)","0","0.96"
"G729164","0.5","1.7 (0.99-2.8)","3.6","0.056"
"G55243","-0.34","0.71 (0.38-1.3)","1.2","0.28"
"G140290","-0.63","0.54 (0.36-0.79)","9.8","0.0018"
"G8708","0.036","1 (0.68-1.6)","0.03","0.87"
"G50939","-0.015","0.99 (0.7-1.4)","0.01","0.93"
"G51301","-0.17","0.84 (0.61-1.2)","1.2","0.28"
"G51311","0.18","1.2 (0.86-1.7)","1.2","0.28"
"G54860","0.15","1.2 (0.9-1.5)","1.4","0.24"
"G55628","-0.038","0.96 (0.51-1.8)","0.01","0.91"
"G100996325","0.014","1 (0.81-1.3)","0.01","0.91"
"G29081","0.021","1 (0.31-3.3)","0","0.97"
"G55732","0.55","1.7 (1.1-2.7)","6.2","0.013"
"G54806","-0.67","0.51 (0.21-1.2)","2.3","0.13"
"G51224","-0.016","0.98 (0.62-1.6)","0","0.95"
"G55289","-0.59","0.55 (0.43-0.72)","20","7.2e-06"
"G100506504","-0.33","0.72 (0.39-1.3)","1.2","0.28"
"G7638","-0.15","0.86 (0.57-1.3)","0.53","0.47"
"G29991","-0.52","0.6 (0.24-1.5)","1.2","0.27"
"G79999","0.34","1.4 (0.99-2)","3.7","0.055"
"G27136","0.19","1.2 (0.98-1.5)","3.2","0.073"
"G29018","0.11","1.1 (0.85-1.5)","0.65","0.42"
"G100506863","-0.33","0.72 (0.56-0.92)","6.8","0.0091"
"G29942","-0.53","0.59 (0.39-0.89)","6.5","0.011"
"G4284","-0.1","0.9 (0.64-1.3)","0.34","0.56"
"G51079","0.7","2 (1-4)","4","0.045"
"G23590","-0.59","0.56 (0.21-1.5)","1.3","0.25"
"G25769","0.46","1.6 (1.2-2.2)","8.5","0.0035"
"G56301","-0.11","0.9 (0.7-1.1)","0.74","0.39"
"G55415","-0.14","0.87 (0.65-1.2)","0.94","0.33"
"G55478","-0.051","0.95 (0.7-1.3)","0.1","0.75"
"G55835","0.017","1 (0.5-2.1)","0","0.96"
"G55879","0.072","1.1 (0.68-1.7)","0.09","0.76"
"G56936","-0.34","0.71 (0.54-0.94)","5.5","0.019"
"G56934","-0.19","0.83 (0.72-0.96)","6.3","0.012"
"G51202","1.5","4.3 (1.2-15)","5.4","0.021"
"G81575","0.31","1.4 (0.79-2.3)","1.2","0.27"
"G29968","0.39","1.5 (1.1-2)","6.1","0.014"
"G57399","-0.1","0.9 (0.7-1.2)","0.56","0.46"
"G59335","-0.53","0.59 (0.43-0.79)","12","0.00049"
"G57663","-0.22","0.8 (0.59-1.1)","2","0.16"
"G80045","-0.51","0.6 (0.31-1.2)","2.2","0.13"
"G85476","0.56","1.7 (0.78-3.9)","1.8","0.18"
"G80069","-0.17","0.85 (0.64-1.1)","1.4","0.25"
"G266977","0.0073","1 (0.83-1.2)","0.01","0.94"
"G80128","-0.073","0.93 (0.59-1.5)","0.1","0.75"
"G57523","-0.067","0.93 (0.52-1.7)","0.05","0.82"
"G80215","0.031","1 (0.67-1.6)","0.02","0.89"
"G80217","-0.32","0.73 (0.54-0.99)","4.1","0.042"
"G728695","0.1","1.1 (0.76-1.6)","0.28","0.6"
"G29944","0.16","1.2 (0.81-1.7)","0.75","0.39"
"G60495","-0.033","0.97 (0.77-1.2)","0.08","0.78"
"G63976","-0.35","0.71 (0.54-0.92)","6.6","0.01"
"G79024","-0.093","0.91 (0.61-1.4)","0.2","0.65"
"G79670","0.41","1.5 (0.51-4.4)","0.55","0.46"
"G55755","-0.54","0.58 (0.3-1.1)","2.5","0.12"
"G55766","-0.36","0.7 (0.32-1.5)","0.78","0.38"
"G27090","-0.18","0.84 (0.41-1.7)","0.24","0.62"
"G10691","-0.2","0.82 (0.31-2.2)","0.16","0.69"
"G54878","-0.29","0.75 (0.19-3)","0.17","0.68"
"G57730","-0.33","0.72 (0.48-1.1)","2.6","0.1"
"G54149","0.13","1.1 (0.51-2.5)","0.1","0.75"
"G26355","1.1","3 (1.3-7.1)","6.2","0.013"
"G55471","-2.4","0.095 (0.03-0.3)","16","5.6e-05"
"G57115","0.22","1.3 (0.8-2)","0.97","0.33"
"G54682","0.27","1.3 (0.76-2.3)","0.96","0.33"
"G26000","1.3","3.6 (1.4-9.3)","7.1","0.0077"
"G476","0.023","1 (0.56-1.9)","0.01","0.94"
"G29974","0.042","1 (0.79-1.4)","0.09","0.77"
"G54477","-0.54","0.58 (0.32-1.1)","3.1","0.078"
"G54545","-1.3","0.26 (0.099-0.69)","7.3","0.0068"
"G29990","-0.89","0.41 (0.24-0.71)","10","0.0014"
"G101752399","-0.89","0.41 (0.24-0.71)","10","0.0014"
"G102466747","-0.89","0.41 (0.24-0.71)","10","0.0014"
"G51715","-0.081","0.92 (0.47-1.8)","0.06","0.81"
"G112398","-0.1","0.9 (0.45-1.8)","0.08","0.77"
"G100529264","0.33","1.4 (0.65-3)","0.71","0.4"
"G64693","-0.23","0.79 (0.52-1.2)","1.2","0.27"
"G54986","0.0056","1 (0.59-1.7)","0","0.98"
"G29989","-0.64","0.53 (0.27-1)","3.4","0.067"
"G29943","0.056","1.1 (0.75-1.5)","0.1","0.75"
"G79363","-1.6","0.2 (0.082-0.51)","12","0.00064"
"G81876","2","7.4 (2.6-22)","14","0.00021"
"G81492","0.086","1.1 (0.67-1.8)","0.12","0.73"
"G81873","1.3","3.8 (1.9-8)","13","3e-04"
"G79943","-0.51","0.6 (0.35-1)","3.7","0.056"
"G64806","-0.31","0.74 (0.56-0.98)","4.6","0.033"
"G81870","0.1","1.1 (0.9-1.4)","0.88","0.35"
"G81858","0.37","1.5 (0.78-2.7)","1.4","0.24"
"G114897","0.2","1.2 (0.5-3)","0.2","0.66"
"G81851","0.19","1.2 (0.88-1.7)","1.4","0.24"
"G57669","-0.83","0.44 (0.27-0.71)","11","8e-04"
"G81850","0.56","1.8 (1.1-2.8)","5.5","0.019"
"G83440","0.35","1.4 (0.54-3.8)","0.51","0.48"
"G81833","0.12","1.1 (0.87-1.5)","0.84","0.36"
"G81796","0.32","1.4 (0.98-1.9)","3.4","0.066"
"G81789","-0.53","0.59 (0.35-0.98)","4.2","0.041"
