"","beta","HR (95% CI for HR)","wald.test","p.value"
"G135656","0.28","1.3 (0.95-1.8)","2.7","0.099"
"G223075","-1.2","0.31 (0.021-4.4)","0.76","0.38"
"G130120","-1.2","0.29 (0.027-3.2)","1","0.31"
"G100653086","0.17","1.2 (0.26-5.5)","0.05","0.82"
"G101927320","1.9","6.4 (0.9-46)","3.4","0.063"
"G388503","0.25","1.3 (0.14-11)","0.05","0.82"
"G647115","0.5","1.6 (0.52-5.2)","0.73","0.39"
"G647219","-0.11","0.89 (0.46-1.8)","0.11","0.74"
"G10717","-1.3","0.26 (0.011-6.3)","0.69","0.41"
"G23581","0.55","1.7 (0.43-7)","0.6","0.44"
"G56133","-0.038","0.96 (0.65-1.4)","0.04","0.85"
"G56122","-0.13","0.87 (0.54-1.4)","0.3","0.59"
"G5015","-0.1","0.9 (0.46-1.8)","0.08","0.77"
"G59082","-0.56","0.57 (0.16-2.1)","0.72","0.4"
"G5948","0.036","1 (0.4-2.7)","0.01","0.94"
"G56129","-0.27","0.76 (0.47-1.2)","1.3","0.26"
"G3767","0.83","2.3 (0.52-10)","1.2","0.27"
"G9290","-1.2","0.3 (0.026-3.3)","0.97","0.33"
"G83881","-1.3","0.27 (0.056-1.3)","2.5","0.11"
"G79465","-0.53","0.59 (0.15-2.3)","0.58","0.45"
"G56131","-0.31","0.73 (0.17-3.1)","0.18","0.67"
"G64241","-0.77","0.46 (0.036-6)","0.35","0.55"
"G2831","0.24","1.3 (0.25-6.5)","0.08","0.77"
"G57829","1.4","4.2 (0.32-56)","1.2","0.27"
"G54429","3.7","41 (2.1-780)","6","0.014"
"G58531","-1.2","0.29 (0.026-3.3)","0.97","0.32"
"G100144596","-3.4","0.032 (0.0016-0.64)","5.1","0.024"
"G2255","0.91","2.5 (0.34-18)","0.82","0.37"
"G54108","0.43","1.5 (0.52-4.6)","0.6","0.44"
"G3214","-1.9","0.15 (0.019-1.2)","3.2","0.072"
"G7391","-0.42","0.66 (0.28-1.6)","0.88","0.35"
"G26270","-0.064","0.94 (0.52-1.7)","0.05","0.83"
"G10804","0.33","1.4 (1-1.9)","4.8","0.029"
"G64946","-0.12","0.89 (0.42-1.9)","0.1","0.75"
"G8320","-0.35","0.7 (0.39-1.3)","1.4","0.25"
"G58496","0.062","1.1 (0.32-3.5)","0.01","0.92"
"G1747","0.71","2 (0.84-4.9)","2.5","0.12"
"G26301","-0.19","0.82 (0.27-2.5)","0.12","0.73"
"G1128","-2.8","0.058 (0.003-1.1)","3.6","0.059"
"G4909","-0.24","0.79 (0.26-2.4)","0.18","0.67"
"G3209","-0.79","0.45 (0.079-2.6)","0.78","0.38"
"G56121","-0.21","0.81 (0.31-2.1)","0.18","0.67"
"G85366","-0.85","0.43 (0.039-4.7)","0.48","0.49"
"G9241","-0.19","0.83 (0.53-1.3)","0.73","0.39"
"G58524","-0.16","0.85 (0.3-2.4)","0.1","0.76"
"G10143","-0.59","0.56 (0.038-8.1)","0.18","0.67"
"G2834","0.98","2.7 (1.1-6.7)","4.4","0.037"
"G102659353","-0.43","0.65 (0.32-1.3)","1.4","0.24"
"G51808","0.26","1.3 (0.34-5)","0.14","0.71"
"G57649","1.3","3.7 (1.2-12)","4.9","0.026"
"G401149","0.45","1.6 (0.6-4.1)","0.85","0.36"
"G729218","0.45","1.6 (0.6-4.1)","0.85","0.36"
"G90639","0.45","1.6 (0.38-6.5)","0.4","0.53"
"G127281","0.84","2.3 (1-5.2)","4.2","0.04"
"G57696","-0.42","0.66 (0.23-1.9)","0.63","0.43"
"G157247","1.4","4.1 (0.63-27)","2.2","0.14"
"G144501","-0.43","0.65 (0.38-1.1)","2.5","0.11"
"G91056","0.8","2.2 (0.39-13)","0.81","0.37"
"G57451","0.0059","1 (0.41-2.4)","0","0.99"
"G57594","1.1","3.1 (0.82-11)","2.8","0.097"
"G57691","1.3","3.6 (1.6-8.2)","9.3","0.0023"
"G85444","0.39","1.5 (0.69-3.2)","1","0.32"
"G81844","-0.29","0.75 (0.26-2.2)","0.29","0.59"
"G26259","2.3","10 (1.3-84)","4.9","0.027"
"G27143","-0.5","0.6 (0.23-1.6)","1.1","0.3"
"G163786","0.21","1.2 (0.5-3.1)","0.22","0.64"
"G347689","0.83","2.3 (0.47-11)","1","0.31"
"G90580","-0.47","0.62 (0.2-1.9)","0.68","0.41"
"G140680","-0.54","0.58 (0.064-5.3)","0.23","0.63"
"G3234","-0.39","0.68 (0.31-1.5)","0.96","0.33"
"G256281","-0.34","0.71 (0.12-4.1)","0.14","0.71"
"G57471","-1.2","0.29 (0.037-2.2)","1.4","0.23"
"G65249","0.26","1.3 (0.091-18)","0.04","0.85"
"G100506305","0.75","2.1 (0.61-7.3)","1.4","0.23"
"G3225","0.11","1.1 (0.72-1.7)","0.24","0.62"
"G140612","2.1","7.9 (1.1-56)","4.2","0.04"
"G26149","-0.039","0.96 (0.47-1.9)","0.01","0.91"
"G54553","-1.4","0.25 (0.078-0.8)","5.4","0.02"
"G100616193","-1.4","0.25 (0.078-0.8)","5.4","0.02"
"G651746","-0.91","0.4 (0.081-2)","1.2","0.27"
"G101930107","0.013","1 (0.32-3.2)","0","0.98"
"G220164","0.56","1.8 (0.9-3.4)","2.7","0.1"
"G284422","0.37","1.4 (0.93-2.2)","2.7","0.1"
"G57474","-0.9","0.41 (0.093-1.8)","1.4","0.23"
"G102725125","0.17","1.2 (0.45-3.1)","0.12","0.73"
"G158219","-0.87","0.42 (0.15-1.2)","2.6","0.11"
"G57469","-0.79","0.46 (0.026-8.1)","0.29","0.59"
"G56884","-0.12","0.88 (0.55-1.4)","0.27","0.61"
"G90075","-1.5","0.23 (0.085-0.61)","8.6","0.0034"
"G79165","-1.5","0.22 (0.031-1.6)","2.2","0.14"
"G342357","-1.6","0.19 (0.024-1.6)","2.3","0.13"
"G26157","-0.035","0.97 (0.6-1.5)","0.02","0.88"
"G54627","0.65","1.9 (0.05-73)","0.12","0.73"
"G157860","-0.55","0.57 (0.11-3.1)","0.41","0.52"
"G102725383","-1.1","0.34 (0.018-6.4)","0.52","0.47"
"G92922","-0.64","0.53 (0.18-1.6)","1.3","0.26"
"G57453","-1","0.36 (0.076-1.7)","1.6","0.21"
"G92070","0.0058","1 (0.12-8.1)","0","1"
"G26153","-0.91","0.4 (0.066-2.4)","0.98","0.32"
"G83886","0.53","1.7 (0.51-5.7)","0.73","0.39"
"G57520","0.72","2 (0.73-5.8)","1.8","0.18"
"G256643","-0.38","0.68 (0.25-1.8)","0.57","0.45"
"G100628315","-0.33","0.72 (0.31-1.7)","0.6","0.44"
"G92014","0.2","1.2 (0.48-3.1)","0.18","0.67"
"G100506815","0.33","1.4 (0.55-3.5)","0.48","0.49"
"G57717","0.048","1 (0.64-1.7)","0.04","0.85"
"G101669762","0.34","1.4 (0.81-2.5)","1.5","0.22"
"G100507043","-0.2","0.82 (0.32-2.1)","0.18","0.67"
"G57822","0.27","1.3 (0.63-2.7)","0.54","0.46"
"G729085","0.17","1.2 (0.39-3.6)","0.09","0.76"
"G100506874","-2.3","0.1 (0.005-2.2)","2.1","0.14"
"G83992","-0.1","0.9 (0.5-1.6)","0.11","0.74"
"G90317","0.033","1 (0.35-3)","0","0.95"
"G91749","0.47","1.6 (0.34-7.6)","0.36","0.55"
"G100132352","0.051","1.1 (0.35-3.2)","0.01","0.93"
"G440299","0.47","1.6 (0.056-45)","0.08","0.78"
"G84464","-0.87","0.42 (0.016-11)","0.28","0.6"
"G199800","0.25","1.3 (0.22-7.6)","0.08","0.78"
"G10251","-1.8","0.17 (0.029-0.93)","4.2","0.041"
"G152519","0.99","2.7 (1.2-5.9)","6","0.014"
"G57562","0.042","1 (0.41-2.6)","0.01","0.93"
"G338324","-0.84","0.43 (0.014-14)","0.23","0.63"
"G401577","-0.56","0.57 (0.23-1.4)","1.5","0.22"
"G154790","-0.88","0.42 (0.097-1.8)","1.4","0.24"
"G84189","-0.13","0.88 (0.64-1.2)","0.6","0.44"
"G286272","-1.6","0.2 (0.046-0.88)","4.5","0.033"
"G140699","0.83","2.3 (0.16-33)","0.37","0.54"
"G115110","0.2","1.2 (0.19-7.7)","0.05","0.83"
"G100133445","0.2","1.2 (0.19-7.7)","0.05","0.83"
"G90625","-0.83","0.43 (0.073-2.6)","0.84","0.36"
"G153811","0.77","2.2 (0.24-19)","0.47","0.49"
"G57512","0.18","1.2 (0.73-2)","0.54","0.46"
"G150082","0.98","2.7 (0.65-11)","1.9","0.17"
"G85409","-0.048","0.95 (0.44-2.1)","0.01","0.9"
"G100653061","0.66","1.9 (0.89-4.2)","2.8","0.095"
"G57611","-1.1","0.34 (0.06-1.9)","1.5","0.22"
"G115196","-3","0.048 (0.0014-1.6)","2.8","0.092"
"G400653","-0.8","0.45 (0.053-3.8)","0.54","0.46"
"G57689","-0.87","0.42 (0.06-2.9)","0.77","0.38"
"G101928612","-0.19","0.83 (0.12-5.8)","0.04","0.85"
"G348327","1.9","6.7 (1.5-30)","6.2","0.013"
"G85413","-0.25","0.78 (0.028-22)","0.02","0.88"
"G92126","-0.25","0.78 (0.33-1.8)","0.34","0.56"
"G266727","0.29","1.3 (0.12-16)","0.05","0.82"
"G643529","0.15","1.2 (0.56-2.4)","0.17","0.68"
"G100506994","1.1","2.9 (1.2-6.9)","5.8","0.017"
"G100652768","-1.8","0.16 (0.026-0.98)","3.9","0.048"
"G92235","0.24","1.3 (0.92-1.8)","2.1","0.15"
"G100009676","2.7","14 (0.59-340)","2.7","0.1"
"G283383","-0.059","0.94 (0.59-1.5)","0.06","0.81"
"G57547","-0.79","0.45 (0.13-1.6)","1.5","0.22"
"G388695","0.053","1.1 (0.4-2.8)","0.01","0.91"
"G100507062","0.88","2.4 (0.92-6.3)","3.2","0.074"
"G267004","0.13","1.1 (0.39-3.3)","0.06","0.81"
"G101243544","0.13","1.1 (0.39-3.3)","0.06","0.81"
"G406952","0.0049","1 (0.46-2.2)","0","0.99"
"G406953","0.0049","1 (0.46-2.2)","0","0.99"
"G406979","0.0049","1 (0.46-2.2)","0","0.99"
"G406980","0.0049","1 (0.46-2.2)","0","0.99"
"G406982","0.0049","1 (0.46-2.2)","0","0.99"
"G407048","0.0049","1 (0.46-2.2)","0","0.99"
"G407975","-0.28","0.76 (0.14-4.1)","0.1","0.75"
"G254251","-0.19","0.83 (0.31-2.2)","0.15","0.7"
"G219347","-0.31","0.73 (0.18-2.9)","0.2","0.66"
"G401093","-0.11","0.89 (0.34-2.3)","0.05","0.82"
"G100133190","-0.29","0.75 (0.14-4.1)","0.12","0.73"
"G60437","-0.24","0.78 (0.23-2.6)","0.15","0.7"
"G92293","2.1","7.9 (0.53-120)","2.3","0.13"
"G400713","0.12","1.1 (0.65-2)","0.19","0.66"
"G121838","-0.96","0.38 (0.041-3.6)","0.69","0.4"
"G103344928","-0.7","0.5 (0.048-5.1)","0.35","0.56"
"G140453","2","7.1 (0.42-120)","1.8","0.17"
"G80731","-0.38","0.68 (0.2-2.3)","0.37","0.54"
"G57481","-0.51","0.6 (0.033-11)","0.12","0.73"
"G100508120","-2.6","0.071 (0.0043-1.2)","3.4","0.064"
"G57643","-0.24","0.79 (0.34-1.8)","0.32","0.57"
"G170959","0.28","1.3 (0.74-2.4)","0.89","0.35"
"G102724827","-0.48","0.62 (0.074-5.2)","0.19","0.66"
"G388692","0.54","1.7 (0.082-36)","0.12","0.73"
"G64843","-0.61","0.54 (0.17-1.7)","1.1","0.3"
"G767579","0.19","1.2 (0.63-2.3)","0.32","0.57"
"G164395","1.2","3.5 (0.3-41)","0.99","0.32"
"G100506235","1","2.8 (0.2-38)","0.59","0.44"
"G100128327","0.44","1.5 (0.036-66)","0.05","0.82"
"G254057","0.31","1.4 (0.46-4)","0.31","0.58"
"G10811","-1.7","0.19 (0.015-2.3)","1.7","0.19"
"G30010","-1.1","0.32 (0.047-2.2)","1.3","0.25"
"G1767","-0.006","0.99 (0.43-2.3)","0","0.99"
"G101927272","-0.033","0.97 (0.6-1.6)","0.02","0.89"
"G92283","-2.6","0.075 (0.0033-1.7)","2.6","0.1"
"G101927482","0.053","1.1 (0.34-3.3)","0.01","0.93"
"G85443","-0.9","0.41 (0.0047-35)","0.16","0.69"
"G57477","-1.5","0.21 (0.051-0.89)","4.5","0.034"
"G100289341","0.15","1.2 (0.27-5)","0.04","0.84"
"G87769","2.8","16 (2.7-95)","9.4","0.0022"
"G148696","-0.48","0.62 (0.079-4.9)","0.21","0.65"
"G729582","1.5","4.5 (0.3-67)","1.2","0.27"
"G441052","0.25","1.3 (0.26-6.4)","0.1","0.76"
"G90768","0.82","2.3 (0.19-28)","0.41","0.52"
"G101928703","2","7.4 (0.56-97)","2.3","0.13"
"G100132234","-0.92","0.4 (0.087-1.8)","1.4","0.24"
"G83875","-2.4","0.088 (0.015-0.52)","7.2","0.0074"
"G149351","4.9","130 (1.4-12000)","4.5","0.035"
"G148824","-1.7","0.19 (0.0057-6.4)","0.85","0.36"
"G340085","1.1","3.1 (0.51-19)","1.5","0.22"
"G118461","-0.65","0.52 (0.091-3)","0.54","0.46"
"G503538","0.86","2.4 (0.43-13)","0.99","0.32"
"G283981","0.09","1.1 (0.16-7.7)","0.01","0.93"
"G117852","-1.3","0.28 (0.052-1.5)","2.2","0.14"
"G619518","0.12","1.1 (0.47-2.7)","0.07","0.79"
"G100379345","0.39","1.5 (0.91-2.4)","2.5","0.12"
"G400931","1.2","3.3 (0.79-14)","2.7","0.1"
"G57622","-0.9","0.41 (0.049-3.4)","0.7","0.4"
"G154442","0.47","1.6 (0.4-6.4)","0.44","0.51"
"G1582","-0.13","0.87 (0.07-11)","0.01","0.92"
"G285628","-0.54","0.58 (0.28-1.2)","2","0.15"
"G406938","-1.3","0.27 (0.067-1)","3.6","0.059"
"G388799","-1","0.35 (0.019-6.6)","0.49","0.48"
"G55582","-0.23","0.79 (0.045-14)","0.03","0.87"
"G84074","0.64","1.9 (0.41-8.7)","0.67","0.41"
"G54083","-0.064","0.94 (0.15-6)","0","0.95"
"G26231","-1.5","0.23 (0.019-2.8)","1.3","0.25"
"G54033","-0.088","0.92 (0.48-1.7)","0.07","0.79"
"G115399","-0.066","0.94 (0.21-4.2)","0.01","0.93"
"G390595","0.43","1.5 (0.13-19)","0.11","0.74"
"G127396","0.14","1.1 (0.37-3.6)","0.05","0.82"
"G158295","-0.6","0.55 (0.27-1.1)","2.7","0.099"
"G80332","0.99","2.7 (0.56-13)","1.5","0.22"
"G101752400","-0.46","0.63 (0.13-3)","0.33","0.57"
"G50652","0.94","2.6 (0.0091-720)","0.11","0.74"
"G145945","-1.1","0.33 (0.025-4.3)","0.72","0.4"
"G100134229","-0.66","0.52 (0.18-1.5)","1.5","0.21"
"G100133315","0.27","1.3 (0.6-2.9)","0.45","0.5"
"G93082","0.6","1.8 (0.52-6.4)","0.89","0.35"
"G440498","-0.4","0.67 (0.27-1.7)","0.74","0.39"
"G91181","-0.015","0.99 (0.4-2.4)","0","0.98"
"G140686","-0.042","0.96 (0.6-1.5)","0.03","0.86"
"G341019","-0.46","0.63 (0.021-19)","0.07","0.79"
"G100506627","-0.46","0.63 (0.021-19)","0.07","0.79"
"G84215","-0.47","0.62 (0.1-3.8)","0.26","0.61"
"G100507135","-0.41","0.66 (0.074-5.9)","0.14","0.71"
"G92359","0.3","1.3 (0.36-5.1)","0.19","0.66"
"G100129935","-1.1","0.34 (0.043-2.7)","1.1","0.3"
"G170487","-0.98","0.38 (0.084-1.7)","1.6","0.2"
"G56964","0.24","1.3 (0.26-6.1)","0.09","0.77"
"G100128751","-1.4","0.25 (0.032-2)","1.7","0.19"
"G60675","-1","0.36 (0.072-1.8)","1.6","0.21"
"G101927254","-0.13","0.88 (0.1-7.4)","0.01","0.9"
"G57642","2.6","13 (0.44-380)","2.2","0.14"
"G90288","0.83","2.3 (0.69-7.7)","1.8","0.18"
"G169270","-0.078","0.93 (0.21-4.1)","0.01","0.92"
"G153684","0.23","1.3 (0.67-2.3)","0.51","0.48"
"G147011","-0.85","0.43 (0.052-3.5)","0.62","0.43"
"G400946","-0.89","0.41 (0.095-1.8)","1.4","0.23"
"G100507178","-0.9","0.41 (0.079-2.1)","1.1","0.29"
"G283652","1.7","5.4 (0.21-140)","1","0.31"
"G399697","1.7","5.4 (0.21-140)","1","0.31"
"G90226","-0.8","0.45 (0.086-2.3)","0.91","0.34"
"G154150","-1.3","0.28 (0.03-2.6)","1.3","0.26"
"G253264","-0.67","0.51 (0.24-1.1)","2.8","0.093"
"G284367","0.14","1.2 (0.42-3.2)","0.08","0.78"
"G284561","-2","0.14 (0.0057-3.2)","1.5","0.22"
"G221400","-0.64","0.53 (0.1-2.7)","0.6","0.44"
"G57497","-0.34","0.71 (0.1-5)","0.12","0.73"
"G80341","0.053","1.1 (0.43-2.6)","0.01","0.91"
"G91464","0.81","2.2 (0.81-6.2)","2.4","0.12"
"G619351","0.79","2.2 (0.76-6.4)","2.1","0.15"
"G158038","3","20 (2.8-140)","9","0.0027"
"G84675","0.33","1.4 (0.32-6.1)","0.19","0.66"
"G100652999","1.4","3.9 (0.37-40)","1.3","0.26"
"G284615","-1.7","0.18 (0.021-1.5)","2.5","0.11"
"G401145","-1.2","0.31 (0.024-3.9)","0.82","0.36"
"G100287616","-0.054","0.95 (0.57-1.6)","0.04","0.84"
"G84701","0.38","1.5 (0.57-3.7)","0.63","0.43"
"G146429","0.46","1.6 (0.79-3.2)","1.7","0.19"
"G140836","-1.2","0.3 (0.014-6.3)","0.6","0.44"
"G221272","-0.22","0.8 (0.15-4.3)","0.07","0.8"
"G284307","0.75","2.1 (0.93-4.8)","3.2","0.076"
"G51058","-0.26","0.77 (0.2-3)","0.14","0.71"
"G57529","-2.4","0.094 (0.0092-0.96)","4","0.046"
"G100506054","-0.49","0.62 (0.28-1.3)","1.5","0.22"
"G153682","-0.27","0.77 (0.31-1.9)","0.35","0.56"
"G101669764","0.94","2.6 (0.34-19)","0.83","0.36"
"G90019","-0.45","0.64 (0.22-1.9)","0.67","0.41"
"G100506385","0.28","1.3 (0.25-6.9)","0.11","0.74"
"G401052","-0.49","0.61 (0.17-2.2)","0.54","0.46"
"G55889","0.032","1 (0.083-13)","0","0.98"
"G653641","0.032","1 (0.083-13)","0","0.98"
"G653643","0.032","1 (0.083-13)","0","0.98"
"G149699","-0.4","0.67 (0.095-4.8)","0.16","0.69"
"G100506757","1.3","3.6 (0.39-34)","1.3","0.26"
"G100885778","0.45","1.6 (0.37-6.6)","0.37","0.54"
"G390035","-3.3","0.038 (0.0021-0.69)","4.9","0.027"
"G93429","-0.088","0.92 (0.085-9.9)","0.01","0.94"
"G728450","0.4","1.5 (0.15-15)","0.12","0.73"
"G100874069","-1.4","0.26 (0.019-3.4)","1","0.31"
"G642345","0.16","1.2 (0.11-12)","0.02","0.89"
"G100128988","-0.068","0.93 (0.1-8.3)","0","0.95"
"G219527","-1.5","0.23 (0.025-2.1)","1.7","0.19"
"G401303","1.8","5.8 (0.82-40)","3.1","0.078"
"G645700","1.8","5.8 (0.82-40)","3.1","0.078"
"G644192","0.99","2.7 (0.59-12)","1.6","0.2"
"G149775","-0.97","0.38 (0.043-3.4)","0.75","0.39"
"G644139","0.44","1.6 (0.33-7.4)","0.32","0.57"
"G140862","-0.0021","1 (0.51-1.9)","0","1"
"G128646","0.2","1.2 (0.11-14)","0.03","0.87"
"G128826","-1.1","0.33 (0.032-3.5)","0.84","0.36"
"G101929177","-0.53","0.59 (0.21-1.7)","1","0.31"
"G100132101","1","2.7 (0.061-120)","0.27","0.61"
"G57677","-1.5","0.22 (0.035-1.4)","2.5","0.12"
"G138649","-4.6","0.01 (0.00064-0.16)","11","0.0011"
"G3743","-1.7","0.19 (0.012-3)","1.4","0.24"
"G140849","1.5","4.6 (0.82-26)","3","0.082"
"G440200","-2.9","0.057 (0.0047-0.69)","5.1","0.024"
"G285955","-0.28","0.76 (0.33-1.8)","0.43","0.51"
"G442590","-0.28","0.76 (0.33-1.8)","0.43","0.51"
"G729597","-0.28","0.76 (0.33-1.8)","0.43","0.51"
"G100310812","-0.28","0.76 (0.33-1.8)","0.43","0.51"
"G400684","-0.92","0.4 (0.11-1.5)","1.8","0.17"
"G64900","0.06","1.1 (0.22-5.1)","0.01","0.94"
"G92565","0.09","1.1 (0.56-2.1)","0.07","0.79"
"G92340","-0.56","0.57 (0.052-6.3)","0.21","0.65"
"G692236","0.46","1.6 (0.19-13)","0.18","0.67"
"G727708","0.46","1.6 (0.19-13)","0.18","0.67"
"G100033429","0.46","1.6 (0.19-13)","0.18","0.67"
"G100033431","0.46","1.6 (0.19-13)","0.18","0.67"
"G100033432","0.46","1.6 (0.19-13)","0.18","0.67"
"G406902","-1.9","0.15 (0.03-0.79)","5","0.025"
"G90060","-0.15","0.86 (0.089-8.3)","0.02","0.9"
"G100132911","-0.17","0.84 (0.14-4.9)","0.04","0.85"
"G221814","0.29","1.3 (0.08-22)","0.04","0.84"
"G90167","4.5","93 (1.1-8100)","3.9","0.047"
"G84631","0.37","1.5 (0.41-5.2)","0.33","0.56"
"G1769","-0.37","0.69 (0.12-3.8)","0.18","0.67"
"G345895","0.75","2.1 (0.27-17)","0.5","0.48"
"G84628","-0.26","0.77 (0.32-1.9)","0.34","0.56"
"G282973","-0.52","0.59 (0.18-1.9)","0.75","0.38"
"G399876","-3.8","0.021 (0.00088-0.52)","5.6","0.018"
"G57232","-1.2","0.31 (0.082-1.2)","3","0.083"
"G200232","-0.88","0.41 (0.027-6.3)","0.4","0.53"
"G100271840","-0.32","0.72 (0.35-1.5)","0.75","0.39"
"G145438","-0.28","0.76 (0.18-3.3)","0.14","0.71"
"G83596","-0.23","0.79 (0.33-1.9)","0.26","0.61"
"G100302522","2.1","7.8 (0.37-170)","1.7","0.19"
"G139735","0.5","1.6 (0.27-10)","0.3","0.59"
"G100506527","1.5","4.4 (0.63-31)","2.2","0.14"
"G140886","0.33","1.4 (0.57-3.4)","0.51","0.47"
"G140873","0.13","1.1 (0.21-6.2)","0.02","0.88"
"G168391","0.11","1.1 (0.068-18)","0.01","0.94"
"G100101120","0.12","1.1 (0.079-16)","0.01","0.93"
"G93233","-0.29","0.75 (0.32-1.7)","0.47","0.5"
"G3888","0.35","1.4 (0.15-14)","0.09","0.76"
"G100874241","-2.4","0.087 (0.0021-3.6)","1.7","0.2"
"G140881","-0.77","0.46 (0.026-8.3)","0.28","0.6"
"G101926892","0.57","1.8 (0.15-20)","0.21","0.65"
"G731157","0.35","1.4 (0.067-30)","0.05","0.82"
"G83642","-0.88","0.41 (0.11-1.6)","1.7","0.19"
"G100885781","-0.54","0.59 (0.06-5.7)","0.21","0.65"
"G116443","-0.58","0.56 (0.017-18)","0.11","0.74"
"G100507642","0.18","1.2 (0.7-2)","0.41","0.52"
"G90655","-1.5","0.23 (0.039-1.3)","2.7","0.1"
"G101929110","-0.94","0.39 (0.064-2.4)","1","0.31"
"G200609","2.9","19 (1.5-230)","5.2","0.023"
"G388439","-0.68","0.5 (0.12-2.1)","0.88","0.35"
"G117285","-1","0.36 (0.06-2.1)","1.3","0.26"
"G57528","0.75","2.1 (0.63-7.1)","1.5","0.22"
"G26526","-1.3","0.28 (0.016-4.8)","0.77","0.38"
"G101927115","-0.33","0.72 (0.11-4.7)","0.12","0.73"
"G100507073","0.82","2.3 (0.59-8.8)","1.4","0.23"
"G64168","0.48","1.6 (0.032-83)","0.06","0.81"
"G145845","1.2","3.4 (0.15-78)","0.6","0.44"
"G146771","0.55","1.7 (1.2-2.5)","8.5","0.0036"
"G90834","-2","0.13 (0.0094-1.8)","2.4","0.12"
"G339829","1.6","5.1 (0.4-66)","1.6","0.21"
"G101928882","1.6","5.1 (0.4-66)","1.6","0.21"
"G26080","-0.67","0.51 (0.069-3.8)","0.43","0.51"
"G642633","-0.8","0.45 (0.12-1.7)","1.4","0.23"
"G729461","-0.63","0.53 (0.12-2.3)","0.73","0.39"
"G153218","0.0098","1 (0.7-1.5)","0","0.96"
"G100134040","0.2","1.2 (0.13-12)","0.03","0.86"
"G140850","2","7.7 (0.2-300)","1.2","0.28"
"G340390","-0.2","0.82 (0.14-4.8)","0.05","0.83"
"G90342","0.71","2 (0.36-11)","0.65","0.42"
"G284739","0.64","1.9 (0.59-6.1)","1.1","0.29"
"G440730","1","2.8 (0.21-36)","0.6","0.44"
"G91450","0.36","1.4 (0.091-22)","0.06","0.8"
"G101927620","1","2.7 (0.2-36)","0.57","0.45"
"G353497","-3.1","0.046 (0.002-1.1)","3.7","0.055"
"G254272","-0.92","0.4 (0.018-9)","0.33","0.56"
"G101928729","-2","0.14 (0.014-1.3)","3","0.085"
"G84867","0.7","2 (0.2-20)","0.36","0.55"
"G284240","-3.4","0.033 (0.0014-0.79)","4.4","0.035"
"G96597","-1.3","0.28 (0.045-1.7)","1.9","0.17"
"G101928881","0.12","1.1 (0.19-6.8)","0.02","0.9"
"G84659","1.4","4.1 (0.19-89)","0.81","0.37"
"G100268168","-1.1","0.34 (0.061-1.9)","1.5","0.22"
"G79541","0.12","1.1 (0.33-3.8)","0.04","0.85"
"G401427","-0.22","0.8 (0.26-2.5)","0.14","0.7"
"G728377","-0.22","0.8 (0.26-2.5)","0.14","0.7"
"G100653233","0.3","1.4 (0.3-6.2)","0.15","0.7"
"G100287216","-0.29","0.75 (0.05-11)","0.04","0.83"
"G200162","-0.17","0.84 (0.49-1.5)","0.37","0.55"
"G202333","1.3","3.5 (0.6-21)","2","0.16"
"G101929423","-1.5","0.22 (0.015-3.2)","1.2","0.26"
"G149954","-0.85","0.43 (0.092-2)","1.2","0.28"
"G158314","-1.7","0.18 (0.0041-7.8)","0.79","0.37"
"G101929340","0.47","1.6 (0.77-3.3)","1.6","0.21"
"G83895","0.4","1.5 (0.2-11)","0.15","0.69"
"G83897","-1.9","0.14 (0.0047-4.4)","1.2","0.26"
"G83896","-0.41","0.66 (0.18-2.4)","0.39","0.53"
"G644714","0.18","1.2 (0.085-17)","0.02","0.89"
"G283075","-0.045","0.96 (0.073-12)","0","0.97"
"G642776","-0.26","0.77 (0.019-31)","0.02","0.89"
"G84856","0.81","2.3 (0.7-7.3)","1.8","0.17"
"G27111","-0.24","0.79 (0.35-1.7)","0.35","0.55"
"G100528031","-0.24","0.79 (0.35-1.7)","0.35","0.55"
"G100873949","0.19","1.2 (0.26-5.7)","0.06","0.81"
"G257044","-0.38","0.69 (0.064-7.4)","0.1","0.76"
"G100506457","2.8","16 (0.91-270)","3.6","0.058"
"G441459","0.74","2.1 (0.59-7.5)","1.3","0.25"
"G150379","-0.46","0.63 (0.057-7)","0.14","0.71"
"G728061","0.29","1.3 (0.81-2.2)","1.3","0.25"
"G401081","0.56","1.8 (0.08-39)","0.13","0.72"
"G645355","-0.99","0.37 (0.038-3.7)","0.72","0.4"
"G128854","-1.4","0.26 (0.038-1.8)","1.9","0.17"
"G83899","-0.33","0.72 (0.069-7.5)","0.08","0.78"
"G83901","0.9","2.5 (0.12-53)","0.33","0.56"
"G91862","-0.77","0.46 (0.15-1.5)","1.7","0.19"
"G85280","-0.98","0.38 (0.029-4.9)","0.56","0.45"
"G389633","-0.44","0.65 (0.058-7.3)","0.12","0.72"
"G729689","-0.44","0.65 (0.058-7.3)","0.12","0.72"
"G84954","0.56","1.7 (0.66-4.7)","1.2","0.26"
"G100861544","1.9","6.8 (0.21-220)","1.2","0.28"
"G57159","0.84","2.3 (0.4-13)","0.88","0.35"
"G374491","-1.1","0.34 (0.084-1.4)","2.3","0.13"
"G100506472","0.064","1.1 (0.011-100)","0","0.98"
"G101929454","0.29","1.3 (0.029-60)","0.02","0.88"
"G85293","-3.6","0.027 (0.00028-2.6)","2.4","0.12"
"G284366","-0.56","0.57 (0.037-8.9)","0.16","0.69"
