"","beta","HR (95% CI for HR)","wald.test","p.value"
"G151477","-2","0.13 (0.0089-1.9)","2.2","0.14"
"G3038","-0.29","0.75 (0.36-1.6)","0.58","0.45"
"G2249","1.2","3.4 (0.58-20)","1.9","0.17"
"G169026","1","2.8 (0.37-22)","1","0.32"
"G142937","0.44","1.5 (0.58-4.2)","0.75","0.39"
"G439933","-0.4","0.67 (0.0079-58)","0.03","0.86"
"G160140","-2.1","0.12 (0.0039-3.5)","1.5","0.22"
"G284418","0.47","1.6 (0.11-24)","0.12","0.73"
"G120065","0.08","1.1 (0.17-7.1)","0.01","0.93"
"G143241","-1.7","0.18 (0.014-2.3)","1.8","0.19"
"G246778","0.42","1.5 (0.28-8.1)","0.24","0.63"
"G132141","-0.18","0.83 (0.071-9.8)","0.02","0.88"
"G245938","0.66","1.9 (0.17-22)","0.28","0.59"
"G280664","-0.74","0.48 (0.23-1)","3.7","0.053"
"G245908","-0.17","0.85 (0.074-9.7)","0.02","0.89"
"G504180","-0.17","0.85 (0.074-9.7)","0.02","0.89"
"G5314","0.32","1.4 (0.18-11)","0.09","0.76"
"G168507","1.1","2.9 (0.078-110)","0.34","0.56"
"G139378","2.1","7.8 (1-60)","3.9","0.048"
"G10178","0.44","1.6 (0.8-3)","1.7","0.19"
"G254958","-1.1","0.32 (0.034-3.1)","0.96","0.33"
"G138474","-0.23","0.79 (0.081-7.8)","0.04","0.84"
"G129684","1.1","3.1 (0.24-40)","0.75","0.39"
"G9401","0.36","1.4 (0.77-2.7)","1.3","0.25"
"G165082","-0.0091","0.99 (0.064-15)","0","0.99"
"G117532","0.23","1.3 (0.2-7.8)","0.06","0.81"
"G140771","0.031","1 (0.14-7.4)","0","0.98"
"G23299","0.3","1.3 (0.46-3.9)","0.3","0.58"
"G114026","-1.4","0.25 (0.0083-7.8)","0.61","0.43"
"G79400","-0.18","0.83 (0.16-4.4)","0.05","0.83"
"G282706","1.1","3.1 (0.062-150)","0.32","0.57"
"G57211","-0.25","0.78 (0.35-1.7)","0.36","0.55"
"G56062","0.33","1.4 (0.051-37)","0.04","0.85"
"G165829","-0.13","0.88 (0.089-8.8)","0.01","0.91"
"G6821","-0.51","0.6 (0.24-1.5)","1.2","0.27"
"G221393","0.32","1.4 (0.68-2.8)","0.79","0.37"
"G133396","0.17","1.2 (0.22-6.3)","0.04","0.85"
"G94122","0.085","1.1 (0.5-2.3)","0.05","0.83"
"G10806","-0.91","0.4 (0.13-1.3)","2.5","0.12"
"G222611","1.1","3 (0.33-27)","0.97","0.33"
"G6854","2.1","7.9 (0.37-170)","1.8","0.19"
"G136371","1.3","3.6 (0.26-52)","0.91","0.34"
"G170572","-0.31","0.73 (0.18-3)","0.18","0.67"
"G84807","0.13","1.1 (0.27-4.8)","0.03","0.86"
"G146722","0.029","1 (0.65-1.6)","0.01","0.9"
"G84694","0.48","1.6 (0.38-6.9)","0.42","0.51"
"G7483","0.7","2 (0.44-9.3)","0.8","0.37"
"G64090","2.1","7.9 (1.5-41)","6.1","0.014"
"G8396","0.024","1 (0.17-6.2)","0","0.98"
"G113746","1.7","5.6 (0.57-54)","2.2","0.14"
"G164237","-1.1","0.35 (0.025-4.9)","0.61","0.44"
"G256369","-0.5","0.61 (0.026-14)","0.1","0.76"
"G162394","-0.62","0.54 (0.27-1.1)","3.2","0.075"
"G89777","0.39","1.5 (0.59-3.7)","0.68","0.41"
"G126326","0.56","1.8 (0.3-10)","0.39","0.53"
"G114771","0.22","1.2 (0.21-7.3)","0.06","0.81"
"G85481","-0.74","0.48 (0.06-3.8)","0.49","0.48"
"G89883","0.17","1.2 (0.18-7.9)","0.03","0.86"
"G116255","0.091","1.1 (0.5-2.4)","0.05","0.82"
"G27201","0.54","1.7 (0.72-4.1)","1.5","0.22"
"G132243","0.92","2.5 (0.4-16)","0.97","0.33"
"G134860","1.3","3.6 (0.53-24)","1.7","0.19"
"G114814","0.54","1.7 (0.26-11)","0.32","0.57"
"G91977","1.1","3 (0.32-28)","0.93","0.33"
"G149428","-0.51","0.6 (0.33-1.1)","2.9","0.09"
"G140456","-0.92","0.4 (0.037-4.3)","0.58","0.45"
"G266553","2.5","13 (0.072-2200)","0.93","0.34"
"G121214","0.78","2.2 (0.15-32)","0.33","0.57"
"G120066","0.47","1.6 (0.25-10)","0.25","0.62"
"G135644","3.7","39 (2.3-660)","6.4","0.012"
"G286828","0.51","1.7 (0.17-16)","0.19","0.66"
"G128488","0.29","1.3 (0.3-5.8)","0.14","0.7"
"G155051","0.13","1.1 (0.57-2.3)","0.14","0.71"
"G147323","-1.3","0.27 (0.016-4.6)","0.81","0.37"
"G143501","0.04","1 (0.049-22)","0","0.98"
"G84322","1","2.8 (0.43-18)","1.2","0.28"
"G10018","0.81","2.3 (0.94-5.4)","3.3","0.068"
"G245932","0.47","1.6 (0.13-19)","0.14","0.71"
"G255061","-0.26","0.77 (0.3-2)","0.31","0.58"
"G729220","-0.9","0.41 (0.1-1.7)","1.6","0.21"
"G200765","-0.43","0.65 (0.32-1.3)","1.5","0.22"
"G54890","0.23","1.3 (0.28-5.7)","0.09","0.77"
"G26112","-0.1","0.9 (0.54-1.5)","0.15","0.7"
"G4799","-0.26","0.77 (0.18-3.3)","0.12","0.72"
"G1829","0.083","1.1 (0.71-1.7)","0.14","0.71"
"G134553","0.38","1.5 (0.53-4.1)","0.53","0.47"
"G89890","-0.17","0.85 (0.37-1.9)","0.15","0.69"
"G1024","-0.4","0.67 (0.28-1.6)","0.77","0.38"
"G5753","-0.16","0.85 (0.44-1.6)","0.23","0.63"
"G85407","-0.036","0.96 (0.25-3.7)","0","0.96"
"G11329","1.4","4 (0.88-18)","3.2","0.073"
"G117145","-1.3","0.28 (0.11-0.71)","7.1","0.0079"
"G63967","1.8","6 (0.63-58)","2.4","0.12"
"G57786","-1.8","0.16 (0.031-0.83)","4.8","0.029"
"G284403","-0.33","0.72 (0.13-4.1)","0.14","0.71"
"G221074","-2.8","0.058 (0.0017-2)","2.5","0.12"
"G165918","0.33","1.4 (0.53-3.7)","0.45","0.5"
"G79987","0.31","1.4 (0.42-4.4)","0.27","0.6"
"G652276","0.59","1.8 (0.38-8.6)","0.54","0.46"
"G2626","0.5","1.7 (0.13-21)","0.15","0.7"
"G123036","-0.34","0.71 (0.37-1.3)","1.1","0.29"
"G203228","-0.43","0.65 (0.23-1.8)","0.7","0.4"
"G130535","-0.74","0.48 (0.12-1.9)","1.1","0.29"
"G8462","-0.015","0.99 (0.27-3.6)","0","0.98"
"G126549","-0.26","0.77 (0.2-3)","0.14","0.71"
"G55558","1.3","3.7 (0.64-22)","2.2","0.14"
"G53918","0.9","2.5 (0.18-34)","0.46","0.5"
"G144811","-0.66","0.52 (0.13-2.1)","0.85","0.36"
"G202020","0.11","1.1 (0.71-1.8)","0.21","0.65"
"G152405","-0.51","0.6 (0.053-6.8)","0.17","0.68"
"G202151","0.51","1.7 (0.095-29)","0.12","0.73"
"G23161","-1.6","0.2 (0.054-0.76)","5.6","0.018"
"G221656","-0.38","0.68 (0.22-2.2)","0.43","0.51"
"G245972","1.1","3 (1.1-8.1)","4.6","0.032"
"G89884","1.2","3.2 (0.25-40)","0.8","0.37"
"G84984","-0.65","0.52 (0.19-1.4)","1.6","0.21"
"G8701","-0.26","0.77 (0.34-1.8)","0.38","0.54"
"G148137","0.76","2.1 (0.87-5.3)","2.7","0.099"
"G113622","-0.77","0.47 (0.1-2.1)","0.96","0.33"
"G11276","-0.7","0.5 (0.11-2.2)","0.85","0.36"
"G64403","0.99","2.7 (1-7)","4","0.045"
"G51091","-1.5","0.21 (0.034-1.4)","2.7","0.1"
"G2901","0.68","2 (0.31-12)","0.52","0.47"
"G164312","-0.23","0.79 (0.55-1.1)","1.6","0.2"
"G27153","-0.047","0.95 (0.14-6.5)","0","0.96"
"G57158","1.1","2.9 (0.82-10)","2.8","0.097"
"G8654","0.51","1.7 (0.31-9)","0.34","0.56"
"G117157","0.94","2.6 (0.62-11)","1.7","0.2"
"G6753","1.4","4.2 (0.64-27)","2.2","0.13"
"G171019","1","2.7 (0.48-15)","1.3","0.26"
"G64794","-1.9","0.15 (0.027-0.78)","5.1","0.024"
"G89766","0.026","1 (0.77-1.4)","0.03","0.86"
"G158158","-0.23","0.79 (0.42-1.5)","0.53","0.47"
"G117583","-1","0.37 (0.02-6.7)","0.46","0.5"
"G667","0.23","1.3 (0.45-3.5)","0.19","0.66"
"G126068","-1.7","0.19 (0.0039-9.1)","0.72","0.4"
"G257194","-0.25","0.78 (0.31-2)","0.27","0.6"
"G115352","0.33","1.4 (0.65-3)","0.74","0.39"
"G138009","-2.3","0.1 (0.00071-14)","0.82","0.36"
"G219736","-0.56","0.57 (0.17-1.9)","0.86","0.35"
"G253868","0.13","1.1 (0.17-7.4)","0.02","0.89"
"G285598","2.1","8.6 (1.2-59)","4.8","0.029"
"G84900","0.36","1.4 (0.67-3.1)","0.88","0.35"
"G162282","-0.51","0.6 (0.23-1.6)","1.1","0.3"
"G196374","1.6","4.9 (1.1-22)","4.2","0.041"
"G79741","-2.2","0.11 (0.0022-5.6)","1.2","0.27"
"G7592","-3.8","0.023 (0.00048-1.1)","3.6","0.058"
"G84450","-0.33","0.72 (0.26-2)","0.4","0.53"
"G9949","-0.052","0.95 (0.44-2.1)","0.02","0.89"
"G150864","-0.41","0.66 (0.24-1.8)","0.66","0.42"
"G147949","-0.21","0.81 (0.049-13)","0.02","0.88"
"G165140","2.6","13 (1.2-150)","4.5","0.034"
"G7798","1.5","4.4 (1.3-15)","5.6","0.018"
"G7626","-1.9","0.16 (0.017-1.5)","2.7","0.1"
"G145978","0.66","1.9 (0.18-20)","0.3","0.58"
"G54014","-1.1","0.32 (0.072-1.4)","2.2","0.14"
"G220388","-1.6","0.2 (0.022-1.8)","2.1","0.15"
"G137209","0.3","1.3 (0.3-6)","0.15","0.69"
"G151393","-3","0.051 (0.0068-0.38)","8.4","0.0037"
"G170692","0.72","2.1 (0.56-7.5)","1.2","0.28"
"G56135","0.24","1.3 (0.69-2.3)","0.61","0.44"
"G147746","0.38","1.5 (0.23-9.1)","0.16","0.69"
"G220108","0.18","1.2 (0.11-13)","0.02","0.88"
"G286183","0.39","1.5 (0.13-17)","0.1","0.75"
"G80760","0.019","1 (0.67-1.6)","0.01","0.93"
"G2187","0.79","2.2 (0.11-43)","0.27","0.6"
"G84197","0.89","2.4 (0.72-8.2)","2.1","0.15"
"G163051","-0.51","0.6 (0.039-9.1)","0.14","0.71"
"G284001","-0.33","0.72 (0.091-5.8)","0.09","0.76"
"G27127","1.1","2.9 (0.16-53)","0.52","0.47"
"G254065","-1","0.37 (0.056-2.4)","1.1","0.29"
"G92591","0.95","2.6 (0.67-9.9)","1.9","0.17"
"G139599","-2.5","0.086 (0.0061-1.2)","3.3","0.068"
"G147664","1.5","4.5 (0.28-72)","1.1","0.29"
"G89792","0.49","1.6 (0.21-12)","0.22","0.64"
"G146512","2.9","18 (2.3-140)","7.5","0.0061"
"G151254","-2.4","0.092 (0.0077-1.1)","3.6","0.059"
"G2837","-0.035","0.97 (0.19-5)","0","0.97"
"G124590","0.064","1.1 (0.19-5.9)","0.01","0.94"
"G6853","1.4","3.9 (1.4-11)","6.8","0.0094"
"G151295","0.44","1.6 (0.37-6.6)","0.36","0.55"
"G246175","-0.14","0.87 (0.21-3.6)","0.04","0.85"
"G162494","-0.16","0.85 (0.07-10)","0.02","0.9"
"G255403","-1.6","0.21 (0.015-2.7)","1.4","0.23"
"G57609","1","2.8 (0.85-9.5)","2.9","0.09"
"G206358","1.5","4.6 (1.1-20)","4.1","0.042"
"G154007","-0.42","0.66 (0.27-1.6)","0.86","0.35"
"G147741","0.38","1.5 (0.091-23)","0.07","0.79"
"G25914","0.59","1.8 (0.36-8.9)","0.52","0.47"
"G153579","-0.88","0.41 (0.11-1.6)","1.7","0.19"
"G150962","-1.6","0.2 (0.047-0.84)","4.8","0.028"
"G257068","0.41","1.5 (0.38-6)","0.35","0.55"
"G150147","1.5","4.7 (0.66-33)","2.4","0.12"
"G89782","-1.4","0.25 (0.051-1.2)","2.8","0.091"
"G144715","-4.8","0.0086 (6e-05-1.2)","3.5","0.061"
"G148254","-0.022","0.98 (0.076-13)","0","0.99"
"G222950","0.82","2.3 (0.63-8.2)","1.6","0.21"
"G124923","-0.16","0.85 (0.42-1.7)","0.2","0.66"
"G117195","0.75","2.1 (0.18-25)","0.35","0.56"
"G154664","-0.37","0.69 (0.35-1.4)","1.1","0.29"
"G84873","-0.49","0.61 (0.1-3.7)","0.29","0.59"
"G1441","-0.072","0.93 (0.57-1.5)","0.08","0.77"
"G146723","-0.14","0.87 (0.017-43)","0.01","0.94"
"G574029","0.22","1.2 (0.62-2.5)","0.38","0.53"
"G160851","0.34","1.4 (0.47-4.2)","0.38","0.54"
"G130827","-1.1","0.32 (0.063-1.7)","1.8","0.18"
"G123775","0.0013","1 (0.24-4.2)","0","1"
"G149986","0.045","1 (0.24-4.5)","0","0.95"
"G841","-0.23","0.8 (0.19-3.3)","0.1","0.75"
"G151056","-0.11","0.9 (0.085-9.6)","0.01","0.93"
"G284756","0.15","1.2 (0.84-1.6)","0.77","0.38"
"G6526","0.22","1.3 (0.61-2.6)","0.37","0.54"
"G124602","0.78","2.2 (0.48-10)","1","0.31"
"G200172","-1.2","0.29 (0.055-1.6)","2.1","0.15"
"G27197","-0.48","0.62 (0.12-3.3)","0.31","0.58"
"G158787","-0.39","0.68 (0.16-2.9)","0.28","0.6"
"G27199","1.1","3 (1.1-7.9)","5","0.025"
"G168448","0.83","2.3 (0.056-92)","0.19","0.66"
"G27233","-0.52","0.6 (0.11-3.2)","0.36","0.55"
"G7003","0.79","2.2 (0.78-6.2)","2.2","0.14"
"G117155","0.16","1.2 (0.15-9.3)","0.02","0.88"
"G440278","0.85","2.3 (0.53-10)","1.3","0.26"
"G101930343","0.16","1.2 (0.15-9.3)","0.02","0.88"
"G134187","0.19","1.2 (0.19-7.5)","0.04","0.84"
"G122042","1.1","3 (0.27-33)","0.8","0.37"
"G222389","-0.15","0.86 (0.3-2.4)","0.08","0.78"
"G6571","-0.82","0.44 (0.14-1.4)","2","0.16"
"G136263","-2.1","0.13 (0.004-3.9)","1.4","0.24"
"G126868","-0.058","0.94 (0.1-8.7)","0","0.96"
"G285696","0.2","1.2 (0.12-12)","0.03","0.87"
"G166968","-0.73","0.48 (0.15-1.5)","1.6","0.21"
"G163859","-0.23","0.79 (0.28-2.2)","0.19","0.66"
"G83650","1.9","6.4 (0.96-43)","3.7","0.055"
"G146861","2","7.7 (0.39-150)","1.8","0.18"
"G646000","1.9","6.4 (0.96-43)","3.7","0.055"
"G131669","1.9","7 (0.53-92)","2.2","0.14"
"G65217","-6.9","0.00098 (2.2e-06-0.43)","5","0.026"
"G27327","-0.69","0.5 (0.11-2.3)","0.8","0.37"
"G3742","0.26","1.3 (0.14-12)","0.05","0.82"
"G196528","-0.063","0.94 (0.42-2.1)","0.02","0.88"
"G205147","0.7","2 (0.43-9.4)","0.8","0.37"
"G161725","-0.45","0.64 (0.046-8.8)","0.11","0.74"
"G30816","0.22","1.2 (0.19-8)","0.05","0.82"
"G158696","-2.1","0.12 (0.0041-3.6)","1.5","0.22"
"G80028","1","2.8 (0.68-12)","2.1","0.15"
"G154386","-0.099","0.91 (0.14-5.9)","0.01","0.92"
"G285848","-0.94","0.39 (0.049-3.1)","0.8","0.37"
"G120863","-2.8","0.062 (0.0015-2.6)","2.1","0.15"
"G51239","-0.095","0.91 (0.22-3.7)","0.02","0.89"
"G200539","-0.56","0.57 (0.099-3.3)","0.4","0.53"
"G125965","0.47","1.6 (0.41-6.2)","0.46","0.5"
"G199786","0.88","2.4 (0.49-12)","1.2","0.28"
"G284656","-0.22","0.8 (0.089-7.2)","0.04","0.84"
"G128025","0.86","2.4 (0.22-26)","0.5","0.48"
"G55412","-2.9","0.057 (0.0016-2)","2.5","0.11"
"G114781","-0.78","0.46 (0.18-1.2)","2.6","0.11"
"G256957","-0.0064","0.99 (0.069-14)","0","1"
"G165631","-1.6","0.2 (0.014-3.1)","1.3","0.25"
"G143872","-3.5","0.03 (0.002-0.43)","6.6","0.01"
"G84931","-0.059","0.94 (0.22-4.1)","0.01","0.94"
"G84879","-0.34","0.71 (0.41-1.2)","1.5","0.22"
"G472","0.57","1.8 (0.26-12)","0.34","0.56"
"G221301","0.037","1 (0.077-14)","0","0.98"
"G27031","-0.26","0.77 (0.33-1.8)","0.36","0.55"
"G285973","0.047","1 (0.12-9.1)","0","0.97"
"G254158","0.49","1.6 (0.11-24)","0.13","0.72"
"G146779","0.82","2.3 (0.61-8.3)","1.5","0.22"
"G102724660","0.82","2.3 (0.61-8.3)","1.5","0.22"
"G7021","0.068","1.1 (0.46-2.5)","0.03","0.87"
"G152206","0.64","1.9 (0.25-14)","0.38","0.54"
"G147081","-0.68","0.5 (0.083-3.1)","0.55","0.46"
"G401884","-0.68","0.5 (0.078-3.3)","0.52","0.47"
"G259249","-0.09","0.91 (0.042-20)","0","0.95"
"G3077","0.55","1.7 (0.32-9.5)","0.4","0.53"
"G117579","0.65","1.9 (0.29-13)","0.46","0.5"
"G64478","-0.25","0.78 (0.02-30)","0.02","0.89"
"G23499","-0.15","0.86 (0.33-2.2)","0.1","0.75"
"G80070","1.7","5.6 (0.21-150)","1.1","0.3"
"G27164","0.085","1.1 (0.24-4.9)","0.01","0.91"
"G84871","0.31","1.4 (0.098-19)","0.05","0.82"
"G80078","-3.6e-05","1 (0.8-1.3)","0","1"
"G246213","-0.49","0.61 (0.018-21)","0.07","0.78"
"G283171","0.73","2.1 (0.24-18)","0.44","0.51"
"G150538","-0.42","0.66 (0.031-14)","0.07","0.79"
"G54715","0.63","1.9 (0.61-5.8)","1.2","0.27"
"G146857","-0.29","0.74 (0.44-1.3)","1.2","0.27"
"G283461","-1.2","0.3 (0.0078-12)","0.42","0.52"
"G149465","-0.26","0.77 (0.27-2.2)","0.25","0.62"
"G285668","-0.46","0.63 (0.052-7.7)","0.13","0.72"
"G170689","0.48","1.6 (0.81-3.3)","1.8","0.18"
"G285780","1.4","4 (0.11-140)","0.57","0.45"
"G158263","0.16","1.2 (0.08-17)","0.01","0.9"
"G128178","0.86","2.4 (0.98-5.7)","3.6","0.056"
"G146183","1.9","6.6 (1.9-23)","8.5","0.0035"
"G653786","1.9","6.6 (1.9-23)","8.5","0.0035"
"G101060424","1.9","6.5 (1.4-32)","5.5","0.019"
"G203238","-6.4","0.0017 (2e-06-1.5)","3.4","0.065"
"G163720","-0.64","0.53 (0.039-7)","0.23","0.63"
"G147276","1.1","3.1 (0.56-17)","1.7","0.2"
"G283463","1.5","4.3 (0.31-60)","1.2","0.28"
"G127707","-0.37","0.69 (0.33-1.4)","1","0.32"
"G100505621","0.17","1.2 (0.23-6)","0.04","0.84"
"G147429","1.8","6.2 (0.63-60)","2.4","0.12"
"G85445","1.5","4.5 (0.16-130)","0.78","0.38"
"G439941","0.9","2.5 (0.23-27)","0.55","0.46"
"G148345","-0.3","0.74 (0.14-3.9)","0.13","0.72"
"G100996634","-0.049","0.95 (0.077-12)","0","0.97"
"G123624","0.065","1.1 (0.45-2.5)","0.02","0.88"
"G285759","-0.7","0.5 (0.037-6.6)","0.28","0.6"
"G283860","0.53","1.7 (0.2-15)","0.24","0.63"
"G283847","0.79","2.2 (0.26-19)","0.52","0.47"
"G283446","-1.5","0.23 (0.026-2.1)","1.7","0.19"
"G142686","0.37","1.5 (0.06-35)","0.05","0.82"
"G126638","-0.51","0.6 (0.046-7.7)","0.15","0.69"
"G100996279","0.93","2.5 (0.48-13)","1.2","0.27"
"G196740","0.7","2 (0.4-10)","0.71","0.4"
"G284992","-0.046","0.95 (0.13-6.9)","0","0.96"
"G285051","1.8","6 (1-36)","3.8","0.05"
"G171483","2.7","15 (0.54-420)","2.5","0.11"
"G286023","1.7","5.4 (0.59-49)","2.2","0.14"
"G221223","4","56 (5.6-570)","12","6e-04"
"G286464","1.2","3.3 (0.56-20)","1.7","0.19"
"G347442","1.8","6 (0.67-53)","2.6","0.11"
"G439944","1.8","6 (0.67-53)","2.6","0.11"
"G101928481","1.8","6 (0.67-53)","2.6","0.11"
"G100288805","0.95","2.6 (0.51-13)","1.3","0.25"
"G8632","0.39","1.5 (0.46-4.7)","0.44","0.51"
"G150596","-0.25","0.78 (0.039-16)","0.03","0.87"
"G100288966","2.1","8.4 (0.35-200)","1.7","0.19"
"G283165","0.3","1.3 (0.21-8.5)","0.1","0.75"
"G284339","0.26","1.3 (0.44-3.9)","0.23","0.63"
"G145858","-1.3","0.28 (0.029-2.7)","1.2","0.27"
"G254187","0.43","1.5 (0.3-8)","0.27","0.6"
"G144360","-0.9","0.41 (0.024-6.9)","0.39","0.53"
"G151278","-1.7","0.18 (0.018-1.8)","2.1","0.15"
"G284099","0.38","1.5 (0.085-25)","0.07","0.79"
"G146279","-0.72","0.49 (0.082-2.9)","0.64","0.42"
"G283455","-0.12","0.88 (0.14-5.6)","0.02","0.89"
"G5075","0.79","2.2 (0.57-8.6)","1.3","0.25"
"G157739","0.76","2.1 (0.096-48)","0.23","0.63"
"G439916","-0.64","0.53 (0.035-7.9)","0.22","0.64"
"G327657","1.1","3.1 (0.63-15)","2","0.16"
"G26223","-2.1","0.12 (0.0013-11)","0.84","0.36"
"G11217","0.79","2.2 (0.86-5.7)","2.7","0.099"
"G114299","1.2","3.5 (1.2-10)","5.2","0.023"
"G445815","0.79","2.2 (0.86-5.7)","2.7","0.099"
"G117196","1.2","3.2 (0.38-28)","1.2","0.28"
"G144568","0.23","1.3 (0.72-2.2)","0.66","0.42"
"G130749","-1.4","0.26 (0.024-2.7)","1.3","0.26"
"G2830","-0.68","0.51 (0.032-8)","0.23","0.63"
"G259283","2","7.4 (1-53)","3.9","0.048"
"G9125","0.63","1.9 (0.41-8.6)","0.67","0.41"
"G125111","1.2","3.3 (0.76-14)","2.5","0.11"
"G3228","-0.36","0.7 (0.15-3.3)","0.21","0.65"
"G55350","0.094","1.1 (0.11-11)","0.01","0.94"
"G150678","-2.4","0.087 (0.0066-1.2)","3.4","0.064"
"G222894","-0.3","0.74 (0.054-10)","0.05","0.83"
"G170949","1.4","3.9 (0.54-28)","1.8","0.18"
"G100287083","1.4","3.9 (0.54-28)","1.8","0.18"
"G246705","-0.95","0.39 (0.0078-19)","0.23","0.63"
"G140596","-0.13","0.87 (0.081-9.5)","0.01","0.91"
"G503618","-0.13","0.87 (0.081-9.5)","0.01","0.91"
"G338323","-0.28","0.76 (0.11-5.4)","0.08","0.78"
"G1607","0.02","1 (0.024-43)","0","0.99"
"G126204","-0.18","0.84 (0.14-5)","0.04","0.85"
"G126205","1.1","2.9 (0.49-17)","1.4","0.24"
"G338321","-0.69","0.5 (0.066-3.8)","0.46","0.5"
"G6877","-0.77","0.46 (0.2-1.1)","3.4","0.066"
"G80834","2.9","19 (2.1-170)","6.9","0.0088"
"G3688","0.37","1.4 (0.46-4.6)","0.39","0.53"
"G5046","0.14","1.2 (0.42-3.2)","0.08","0.78"
"G84905","-0.61","0.54 (0.18-1.6)","1.2","0.28"
"G56704","-0.55","0.58 (0.31-1.1)","2.9","0.091"
"G338322","1.8","6.4 (0.83-49)","3.2","0.075"
"G5905","0.57","1.8 (0.73-4.3)","1.6","0.21"
"G10150","-0.41","0.66 (0.21-2.1)","0.49","0.48"
"G319101","0.22","1.2 (0.12-13)","0.03","0.86"
"G4512","4.2","67 (2-2300)","5.4","0.02"
"G121391","0.42","1.5 (0.21-11)","0.17","0.68"
"G3177","0.019","1 (0.22-4.7)","0","0.98"
"G4009","0.74","2.1 (0.31-14)","0.57","0.45"
"G202243","-0.59","0.55 (0.2-1.5)","1.3","0.25"
"G83550","1","2.8 (0.47-16)","1.3","0.26"
"G286676","-0.15","0.86 (0.38-1.9)","0.13","0.72"
"G317701","2.9","18 (2.1-150)","7","0.008"
"G317705","0.47","1.6 (0.13-20)","0.13","0.72"
"G4536","0.2","1.2 (0.28-5.4)","0.07","0.79"
"G83551","-0.42","0.66 (0.079-5.5)","0.15","0.7"
"G259285","2.1","8.2 (1.3-53)","4.9","0.027"
"G5726","1.3","3.7 (0.88-16)","3.2","0.073"
"G259286","-0.9","0.41 (0.019-8.6)","0.33","0.56"
"G259287","1","2.7 (0.55-13)","1.5","0.22"
"G134285","0.083","1.1 (0.44-2.7)","0.03","0.86"
"G317703","0.91","2.5 (0.32-19)","0.75","0.39"
"G259296","1.7","5.8 (0.73-45)","2.8","0.096"
"G926","0.35","1.4 (0.45-4.5)","0.35","0.55"
"G100996919","0.29","1.3 (0.55-3.3)","0.41","0.52"
"G140733","-0.36","0.7 (0.4-1.2)","1.7","0.19"
"G23576","-1.4","0.25 (0.052-1.2)","2.9","0.09"
"G196500","-0.093","0.91 (0.14-6.1)","0.01","0.92"
"G4508","0.58","1.8 (0.34-9.4)","0.47","0.49"
"G3010","0.23","1.3 (0.27-5.9)","0.08","0.77"
"G4513","1.8","6.1 (0.18-200)","1","0.31"
"G114757","1.2","3.3 (0.81-13)","2.8","0.095"
"G1943","0.45","1.6 (0.71-3.5)","1.2","0.27"
"G338376","1.4","3.9 (0.43-35)","1.4","0.23"
"G4541","0.81","2.2 (0.88-5.8)","2.8","0.092"
"G10407","1.7","5.7 (0.18-180)","0.99","0.32"
"G653423","0.83","2.3 (0.088-60)","0.25","0.62"
"G285672","-0.44","0.64 (0.34-1.2)","1.9","0.17"
"G7069","0.35","1.4 (0.14-14)","0.09","0.76"
"G79742","0.88","2.4 (0.65-8.9)","1.7","0.19"
"G4104","0.1","1.1 (0.6-2)","0.11","0.74"
"G100533997","0.1","1.1 (0.6-2)","0.11","0.74"
"G283932","0.33","1.4 (0.22-8.8)","0.12","0.73"
"G56655","-0.34","0.71 (0.22-2.3)","0.32","0.57"
"G4537","-0.25","0.78 (0.016-39)","0.02","0.9"
"G30011","0.22","1.2 (0.46-3.4)","0.19","0.66"
"G10158","-0.35","0.7 (0.54-0.92)","6.4","0.011"
"G100131997","-1.3","0.26 (0.058-1.2)","3","0.085"
"G100289124","-1.3","0.26 (0.058-1.2)","3","0.085"
"G644165","0.37","1.4 (0.19-11)","0.12","0.72"
"G6887","0.39","1.5 (0.25-8.9)","0.18","0.67"
"G3640","0.061","1.1 (0.19-5.9)","0","0.94"
"G50511","-0.93","0.39 (0.015-11)","0.31","0.58"
"G259236","-0.69","0.5 (0.056-4.5)","0.38","0.54"
"G118430","0.49","1.6 (1-2.6)","4.6","0.033"
"G64225","-0.64","0.53 (0.2-1.4)","1.7","0.19"
"G193629","-2.5","0.084 (0.00097-7.2)","1.2","0.28"
"G283212","-1","0.36 (0.068-1.9)","1.4","0.24"
"G117608","-0.86","0.42 (0.082-2.2)","1.1","0.3"
"G2296","0.22","1.2 (0.82-1.9)","1","0.31"
"G100128202","2.4","11 (0.3-390)","1.7","0.19"
"G101929344","2.4","11 (0.3-390)","1.7","0.19"
"G129868","0.51","1.7 (0.57-4.8)","0.86","0.35"
"G653192","0.51","1.7 (0.57-4.8)","0.86","0.35"
"G287015","-0.44","0.64 (0.015-28)","0.05","0.82"
"G161835","-0.35","0.7 (0.026-19)","0.04","0.83"
"G84843","2.1","7.8 (0.67-90)","2.7","0.1"
"G283742","0.2","1.2 (0.39-3.8)","0.12","0.72"
"G124989","-1.7","0.19 (0.0048-7.5)","0.79","0.38"
"G153745","1.7","5.6 (0.54-59)","2.1","0.15"
"G219621","-0.36","0.7 (0.081-5.9)","0.11","0.74"
"G150159","1.1","2.9 (0.033-260)","0.22","0.64"
"G101929373","1.1","2.9 (0.033-260)","0.22","0.64"
"G285962","0.18","1.2 (0.2-7.1)","0.04","0.84"
