"","beta","HR (95% CI for HR)","wald.test","p.value"
"G388686","-0.1","0.9 (0.43-1.9)","0.07","0.79"
"G5891","-0.012","0.99 (0.66-1.5)","0","0.95"
"G2173","0.27","1.3 (1.1-1.6)","7.1","0.0078"
"G1390","0.0044","1 (0.44-2.3)","0","0.99"
"G78994","0.028","1 (0.53-2)","0.01","0.94"
"G146310","-0.26","0.77 (0.21-2.9)","0.15","0.7"
"G5536","0.038","1 (0.5-2.2)","0.01","0.92"
"G153527","-0.055","0.95 (0.49-1.8)","0.03","0.87"
"G84560","0.56","1.7 (0.64-4.8)","1.2","0.28"
"G4283","-0.096","0.91 (0.79-1)","1.8","0.19"
"G5316","0.23","1.3 (0.57-2.8)","0.33","0.56"
"G23585","0.27","1.3 (0.77-2.2)","1","0.31"
"G3430","-0.083","0.92 (0.55-1.5)","0.1","0.75"
"G4670","-0.12","0.89 (0.45-1.7)","0.11","0.73"
"G57536","-0.12","0.88 (0.55-1.4)","0.25","0.62"
"G140690","-0.42","0.66 (0.34-1.3)","1.6","0.21"
"G4940","-0.055","0.95 (0.47-1.9)","0.02","0.88"
"G65217","0.56","1.7 (0.64-4.7)","1.2","0.28"
"G340529","0.083","1.1 (0.47-2.5)","0.04","0.84"
"G56987","0.21","1.2 (0.65-2.4)","0.42","0.52"
"G55954","-0.17","0.84 (0.47-1.5)","0.34","0.56"
"G57050","0.7","2 (0.76-5.3)","2","0.16"
"G3097","0.26","1.3 (0.64-2.6)","0.52","0.47"
"G10379","-0.0028","1 (0.53-1.9)","0","0.99"
"G642549","-0.31","0.73 (0.31-1.7)","0.51","0.48"
"G651115","0.12","1.1 (0.58-2.2)","0.13","0.72"
"G222643","0.33","1.4 (0.91-2.1)","2.4","0.12"
"G84190","-0.084","0.92 (0.5-1.7)","0.07","0.79"
"G7802","0.082","1.1 (0.86-1.4)","0.46","0.5"
"G27349","0.14","1.1 (0.67-2)","0.26","0.61"
"G5197","0.13","1.1 (0.66-2)","0.2","0.65"
"G3756","0.65","1.9 (0.56-6.6)","1.1","0.3"
"G81558","-0.019","0.98 (0.6-1.6)","0.01","0.94"
"G2780","0.5","1.6 (0.77-3.5)","1.7","0.2"
"G643006","0.17","1.2 (0.47-3)","0.13","0.71"
"G441116","0.11","1.1 (0.44-2.8)","0.05","0.82"
"G652895","-0.58","0.56 (0.2-1.6)","1.2","0.28"
"G10571","0.35","1.4 (0.55-3.7)","0.52","0.47"
"G5650","0.034","1 (0.67-1.6)","0.02","0.88"
"G132612","-0.095","0.91 (0.29-2.9)","0.03","0.87"
"G55763","-0.28","0.76 (0.39-1.4)","0.71","0.4"
