"","beta","HR (95% CI for HR)","wald.test","p.value"
"G90827","0.013","1 (0.47-2.2)","0","0.97"
"G8788","-0.088","0.92 (0.65-1.3)","0.26","0.61"
"G652191","-0.48","0.62 (0.26-1.5)","1.2","0.28"
"G23117","-0.23","0.79 (0.26-2.4)","0.17","0.68"
"G23279","-0.34","0.71 (0.4-1.2)","1.4","0.23"
"G649745","0.27","1.3 (0.46-3.7)","0.25","0.62"
"G440673","-0.55","0.58 (0.21-1.6)","1.1","0.29"
"G7799","-0.093","0.91 (0.35-2.4)","0.04","0.85"
"G552900","0.083","1.1 (0.57-2.1)","0.06","0.8"
"G8340","0.22","1.2 (0.68-2.3)","0.49","0.48"
"G91768","-0.058","0.94 (0.65-1.4)","0.09","0.76"
"G1446","-0.72","0.49 (0.15-1.6)","1.4","0.24"
"G647447","-0.54","0.58 (0.074-4.6)","0.27","0.61"
"G51316","-0.077","0.93 (0.76-1.1)","0.6","0.44"
"G1282","0.2","1.2 (0.81-1.9)","0.92","0.34"
"G653766","-0.022","0.98 (0.45-2.1)","0","0.96"
"G644679","0.42","1.5 (0.73-3.2)","1.3","0.26"
"G642934","0.14","1.2 (0.74-1.8)","0.39","0.53"
"G26025","-0.0022","1 (0.66-1.5)","0","0.99"
"G80270","-0.057","0.94 (0.66-1.4)","0.09","0.76"
"G442428","-0.54","0.58 (0.23-1.5)","1.2","0.26"
"G79665","0.2","1.2 (0.48-3.1)","0.18","0.68"
"G6658","-0.67","0.51 (0.22-1.2)","2.6","0.11"
"G527","0.071","1.1 (0.5-2.3)","0.03","0.86"
"G221981","-1.1","0.34 (0.1-1.1)","3.2","0.073"
"G219960","-0.29","0.75 (0.31-1.8)","0.4","0.53"
"G650549","0.3","1.3 (0.49-3.7)","0.33","0.57"
"G643275","-0.29","0.75 (0.18-3)","0.17","0.68"
"G7782","0.0082","1 (0.53-1.9)","0","0.98"
"G92558","-0.028","0.97 (0.47-2)","0.01","0.94"
"G140894","0.23","1.3 (0.58-2.7)","0.35","0.55"
"G1891","-0.65","0.52 (0.26-1)","3.5","0.061"
"G6480","-0.21","0.81 (0.42-1.5)","0.41","0.52"
"G5187","0.076","1.1 (0.78-1.5)","0.21","0.65"
"G400322","-0.011","0.99 (0.57-1.7)","0","0.97"
"G1478","-0.41","0.67 (0.39-1.1)","2.2","0.14"
"G152503","-0.17","0.84 (0.54-1.3)","0.57","0.45"
"G255919","-0.33","0.72 (0.29-1.8)","0.51","0.47"
"G651454","-0.37","0.69 (0.28-1.7)","0.67","0.41"
"G11319","-0.32","0.73 (0.45-1.2)","1.6","0.21"
"G4438","-0.22","0.8 (0.39-1.6)","0.39","0.53"
"G642961","0.42","1.5 (0.6-3.8)","0.79","0.37"
"G126567","0.25","1.3 (0.78-2.1)","0.95","0.33"
"G503834","0.053","1.1 (0.46-2.4)","0.02","0.9"
"G6623","-0.019","0.98 (0.81-1.2)","0.04","0.85"
"G54993","0.054","1.1 (0.61-1.8)","0.04","0.85"
"G14","-0.051","0.95 (0.58-1.6)","0.04","0.84"
"G10462","-0.11","0.9 (0.6-1.3)","0.27","0.61"
"G2651","-0.22","0.81 (0.46-1.4)","0.58","0.45"
"G7171","0.052","1.1 (0.76-1.5)","0.1","0.75"
"G5379","-0.076","0.93 (0.45-1.9)","0.04","0.84"
"G653303","-0.23","0.8 (0.23-2.8)","0.13","0.72"
"G2969","-0.61","0.54 (0.22-1.4)","1.7","0.19"
"G643377","-0.24","0.79 (0.28-2.2)","0.2","0.65"
"G643695","0.19","1.2 (0.43-3.4)","0.13","0.72"
"G51310","0.28","1.3 (0.79-2.2)","1.2","0.28"
"G643717","-0.76","0.47 (0.15-1.5)","1.7","0.19"
"G30008","-0.071","0.93 (0.62-1.4)","0.11","0.73"
"G401466","0.32","1.4 (0.78-2.4)","1.2","0.27"
"G642242","-0.24","0.79 (0.34-1.8)","0.31","0.58"
"G11130","0.2","1.2 (0.71-2.1)","0.51","0.47"
"G23439","0.37","1.5 (0.56-3.8)","0.58","0.45"
"G9600","-0.16","0.85 (0.54-1.3)","0.51","0.47"
"G152065","0.13","1.1 (0.57-2.3)","0.14","0.71"
"G644683","-0.7","0.5 (0.17-1.4)","1.7","0.19"
"G3009","-0.26","0.77 (0.49-1.2)","1.2","0.28"
"G114787","-0.13","0.88 (0.64-1.2)","0.58","0.45"
"G79982","-0.27","0.77 (0.4-1.5)","0.64","0.42"
"G2849","0.21","1.2 (0.71-2.1)","0.57","0.45"
"G170685","-0.21","0.81 (0.22-3)","0.1","0.75"
"G645276","0.35","1.4 (0.86-2.4)","1.9","0.17"
"G200958","0.059","1.1 (0.85-1.3)","0.28","0.6"
"G353139","0.18","1.2 (0.45-3.2)","0.14","0.71"
"G351","0.041","1 (0.72-1.5)","0.05","0.83"
"G642172","-0.034","0.97 (0.43-2.2)","0.01","0.93"
"G5210","-0.24","0.78 (0.55-1.1)","1.9","0.17"
"G51157","-0.24","0.79 (0.29-2.1)","0.21","0.64"
"G642576","-0.11","0.9 (0.4-2)","0.07","0.79"
"G4157","-0.0054","0.99 (0.76-1.3)","0","0.97"
"G116379","0.078","1.1 (0.4-2.9)","0.02","0.88"
"G54801","-0.24","0.78 (0.2-3)","0.13","0.72"
"G9400","0.23","1.3 (0.54-2.9)","0.28","0.6"
"G64118","-0.034","0.97 (0.58-1.6)","0.02","0.89"
"G643697","-0.36","0.7 (0.24-2)","0.46","0.5"
"G644975","-0.47","0.63 (0.3-1.3)","1.5","0.22"
"G404785","0.32","1.4 (0.49-3.9)","0.36","0.55"
"G2525","0.13","1.1 (0.9-1.4)","1.2","0.27"
"G6883","-0.045","0.96 (0.64-1.4)","0.05","0.82"
"G645238","0.41","1.5 (0.6-3.8)","0.76","0.38"
"G388685","0.099","1.1 (0.24-5.1)","0.02","0.9"
"G148229","-0.025","0.98 (0.72-1.3)","0.03","0.87"
"G165215","-0.17","0.85 (0.45-1.6)","0.27","0.61"
"G646589","-0.055","0.95 (0.44-2)","0.02","0.89"
"G11127","-7e-04","1 (0.5-2)","0","1"
"G391365","0.3","1.4 (0.9-2)","2.1","0.15"
"G255812","-0.12","0.88 (0.25-3.1)","0.04","0.85"
"G642916","-0.69","0.5 (0.27-0.93)","4.8","0.029"
"G1234","-0.16","0.85 (0.3-2.4)","0.1","0.76"
"G28511","1.1","3 (0.96-9.2)","3.6","0.059"
"G647274","-0.48","0.62 (0.3-1.3)","1.7","0.19"
"G84839","0.12","1.1 (0.8-1.6)","0.49","0.49"
"G30014","-0.43","0.65 (0.19-2.2)","0.49","0.49"
"G643376","-1.2","0.31 (0.098-0.97)","4","0.045"
"G643394","0.1","1.1 (0.37-3.3)","0.03","0.85"
"G23443","0.33","1.4 (0.86-2.2)","1.8","0.18"
"G9987","0.37","1.5 (0.77-2.7)","1.3","0.25"
"G1756","0.42","1.5 (0.65-3.6)","0.95","0.33"
"G642360","-0.86","0.42 (0.18-1)","3.9","0.049"
"G9678","0.35","1.4 (0.61-3.3)","0.68","0.41"
"G1017","0.14","1.2 (0.75-1.8)","0.43","0.51"
"G170680","-0.07","0.93 (0.42-2.1)","0.03","0.86"
"G4281","0.59","1.8 (0.95-3.4)","3.2","0.073"
"G648840","-0.14","0.87 (0.34-2.2)","0.09","0.77"
"G3590","-0.37","0.69 (0.33-1.4)","0.97","0.33"
"G401145","-0.71","0.49 (0.14-1.7)","1.3","0.25"
"G442038","0.49","1.6 (0.84-3.2)","2.1","0.15"
"G57801","0.4","1.5 (0.98-2.3)","3.5","0.063"
"G653145","0.18","1.2 (0.51-2.8)","0.16","0.68"
"G645161","0.042","1 (0.66-1.7)","0.03","0.86"
"G64837","0.12","1.1 (0.47-2.7)","0.07","0.79"
"G253175","0.0079","1 (0.12-8.6)","0","0.99"
"G202243","-0.1","0.9 (0.57-1.4)","0.19","0.67"
"G6271","0.21","1.2 (0.88-1.7)","1.5","0.22"
"G2752","0.31","1.4 (0.63-2.9)","0.6","0.44"
"G10261","-0.068","0.93 (0.72-1.2)","0.25","0.62"
"G649902","0.36","1.4 (0.59-3.5)","0.62","0.43"
"G7869","0.11","1.1 (0.86-1.4)","0.67","0.41"
"G1901","0.16","1.2 (0.86-1.6)","1","0.31"
"G442015","0.35","1.4 (0.54-3.7)","0.5","0.48"
"G5928","0.76","2.1 (1-4.5)","4","0.047"
"G80143","0.18","1.2 (0.69-2.1)","0.4","0.53"
"G643506","-1.2","0.31 (0.11-0.84)","5.3","0.021"
"G54881","-0.092","0.91 (0.47-1.8)","0.07","0.79"
"G283643","-0.16","0.85 (0.56-1.3)","0.6","0.44"
"G653727","-0.43","0.65 (0.24-1.7)","0.75","0.39"
"G391282","0.66","1.9 (0.8-4.7)","2.1","0.15"
"G196120","-0.041","0.96 (0.45-2.1)","0.01","0.92"
"G647529","-0.38","0.68 (0.42-1.1)","2.4","0.12"
"G644846","-0.26","0.77 (0.52-1.2)","1.6","0.2"
"G10068","-0.22","0.8 (0.32-2)","0.21","0.65"
"G54073","0.46","1.6 (0.28-8.8)","0.27","0.6"
"G64131","0.3","1.4 (0.38-4.8)","0.22","0.64"
"G401845","-0.071","0.93 (0.8-1.1)","0.84","0.36"
"G642375","0.63","1.9 (0.58-6.1)","1.1","0.3"
"G135644","-0.82","0.44 (0.15-1.3)","2.3","0.13"
"G513","-0.28","0.76 (0.45-1.3)","1.1","0.3"
"G646144","-0.29","0.75 (0.43-1.3)","1","0.31"
"G645084","-0.42","0.66 (0.31-1.4)","1.2","0.28"
"G649622","0.18","1.2 (0.39-3.7)","0.1","0.75"
"G54793","0.013","1 (0.57-1.8)","0","0.97"
"G84720","-0.037","0.96 (0.55-1.7)","0.02","0.9"
"G201627","0.46","1.6 (0.51-5)","0.64","0.42"
"G26009","0.46","1.6 (0.71-3.5)","1.3","0.26"
"G648716","-0.38","0.69 (0.27-1.8)","0.61","0.44"
"G652641","0.03","1 (0.45-2.4)","0","0.94"
"G644856","0.4","1.5 (0.56-4)","0.63","0.43"
"G84993","0.21","1.2 (0.75-2)","0.67","0.41"
"G81491","-0.015","0.98 (0.54-1.8)","0","0.96"
"G393078","-0.25","0.78 (0.33-1.8)","0.32","0.57"
"G5788","-0.6","0.55 (0.33-0.9)","5.6","0.018"
"G642947","0.33","1.4 (0.56-3.5)","0.49","0.48"
"G55975","0.34","1.4 (0.65-3)","0.74","0.39"
"G643423","0.0043","1 (0.66-1.5)","0","0.98"
"G8452","-0.1","0.9 (0.49-1.7)","0.1","0.75"
"G23220","-0.35","0.71 (0.36-1.4)","1","0.31"
"G50614","-0.47","0.62 (0.17-2.3)","0.52","0.47"
"G3578","-1","0.36 (0.11-1.2)","2.7","0.1"
"G57175","-0.56","0.57 (0.29-1.1)","2.6","0.11"
"G26520","0.026","1 (0.66-1.6)","0.01","0.91"
"G2535","-0.1","0.9 (0.7-1.2)","0.59","0.44"
"G91373","-0.087","0.92 (0.65-1.3)","0.24","0.62"
"G645565","-0.12","0.89 (0.41-1.9)","0.09","0.77"
"G130617","-0.077","0.93 (0.45-1.9)","0.05","0.83"
"G9358","-0.15","0.86 (0.55-1.4)","0.39","0.53"
"G2066","0.086","1.1 (0.71-1.7)","0.16","0.69"
"G64064","0.03","1 (0.79-1.3)","0.05","0.83"
"G285905","0.094","1.1 (0.66-1.8)","0.13","0.72"
"G170067","-0.73","0.48 (0.2-1.2)","2.6","0.1"
"G643927","-0.15","0.86 (0.34-2.2)","0.1","0.75"
"G644272","-0.28","0.76 (0.49-1.2)","1.5","0.22"
"G140880","-0.53","0.59 (0.16-2.1)","0.66","0.42"
"G6663","0.41","1.5 (1-2.2)","4.3","0.039"
"G651430","-0.67","0.51 (0.21-1.2)","2.2","0.13"
"G4613","0.03","1 (0.78-1.4)","0.05","0.83"
"G140767","0.14","1.2 (0.7-1.9)","0.31","0.58"
"G6369","-0.72","0.49 (0.23-1)","3.4","0.065"
"G641733","0.37","1.4 (0.66-3.1)","0.86","0.35"
"G126820","0.26","1.3 (0.92-1.8)","2.3","0.13"
"G23209","0.68","2 (0.38-10)","0.66","0.42"
"G644887","0.45","1.6 (0.69-3.6)","1.2","0.28"
"G341604","-0.078","0.93 (0.4-2.1)","0.03","0.85"
"G83459","-0.14","0.87 (0.4-1.9)","0.13","0.72"
"G5170","-0.3","0.74 (0.31-1.8)","0.43","0.51"
"G387066","0.028","1 (0.72-1.5)","0.02","0.88"
"G81688","-0.19","0.83 (0.43-1.6)","0.32","0.57"
"G653673","-1.4","0.25 (0.036-1.8)","1.9","0.16"
"G652691","-0.3","0.74 (0.43-1.3)","1.2","0.26"
"G642670","-0.094","0.91 (0.33-2.5)","0.03","0.85"
"G3044","-0.089","0.92 (0.42-2)","0.05","0.82"
"G148","0.73","2.1 (0.41-10)","0.78","0.38"
"G4751","0.025","1 (0.77-1.4)","0.03","0.87"
"G3918","0.26","1.3 (0.98-1.7)","3.3","0.068"
"G2258","0.33","1.4 (0.72-2.7)","0.94","0.33"
"G55743","0.12","1.1 (0.61-2.1)","0.15","0.7"
"G643338","-0.67","0.51 (0.21-1.3)","2.1","0.15"
"G144776","0.14","1.2 (0.53-2.5)","0.13","0.72"
"G55239","-0.46","0.63 (0.22-1.8)","0.7","0.4"
"G120196","0.38","1.5 (1.1-2)","5.3","0.021"
"G440253","0.51","1.7 (0.57-4.9)","0.88","0.35"
"G84959","0.11","1.1 (0.8-1.6)","0.4","0.53"
"G22955","0.57","1.8 (1.1-2.9)","4.6","0.031"
"G644326","0.16","1.2 (0.43-3.2)","0.1","0.75"
"G642451","-0.17","0.84 (0.5-1.4)","0.42","0.52"
"G158399","0.23","1.3 (0.61-2.6)","0.39","0.53"
"G10135","0.26","1.3 (0.78-2.1)","1","0.32"
"G51324","0.18","1.2 (0.46-3.1)","0.13","0.72"
"G783","-0.13","0.88 (0.35-2.2)","0.07","0.79"
"G4884","0.033","1 (0.69-1.5)","0.03","0.87"
"G84126","-0.45","0.64 (0.36-1.1)","2.4","0.13"
"G10587","-0.22","0.8 (0.32-2)","0.23","0.63"
"G441051","-1","0.35 (0.14-0.9)","4.7","0.03"
"G116937","-0.0065","0.99 (0.32-3.1)","0","0.99"
"G440421","0.41","1.5 (1-2.2)","4","0.045"
"G9099","-0.64","0.53 (0.22-1.3)","2","0.16"
"G644116","0.18","1.2 (0.54-2.7)","0.21","0.65"
"G647543","0.17","1.2 (0.95-1.5)","2.2","0.14"
"G3691","0.19","1.2 (0.83-1.8)","0.94","0.33"
"G79828","-0.31","0.73 (0.33-1.7)","0.55","0.46"
"G643344","-0.82","0.44 (0.15-1.3)","2.4","0.12"
"G390570","0.013","1 (0.45-2.3)","0","0.98"
"G79677","0.25","1.3 (0.95-1.7)","2.7","0.099"
"G56894","0.044","1 (0.54-2)","0.02","0.9"
"G283987","-0.11","0.9 (0.64-1.3)","0.38","0.54"
"G103910","0.23","1.3 (0.6-2.7)","0.38","0.54"
"G93492","-0.82","0.44 (0.17-1.2)","2.7","0.1"
"G10444","0.056","1.1 (0.66-1.7)","0.05","0.82"
"G653539","0.15","1.2 (0.43-3.2)","0.09","0.77"
"G442560","0.52","1.7 (0.72-3.9)","1.4","0.23"
"G643907","-0.66","0.52 (0.21-1.3)","2.1","0.14"
"G2872","-0.13","0.88 (0.48-1.6)","0.18","0.68"
"G652830","0.34","1.4 (0.89-2.2)","2.1","0.15"
"G644334","-0.14","0.87 (0.65-1.2)","0.88","0.35"
"G84913","-0.078","0.92 (0.76-1.1)","0.63","0.43"
"G4521","-0.43","0.65 (0.38-1.1)","2.3","0.13"
"G6376","-0.03","0.97 (0.77-1.2)","0.07","0.79"
"G647213","0.27","1.3 (0.53-3.2)","0.34","0.56"
"G3675","0.036","1 (0.66-1.6)","0.02","0.88"
"G9860","0.19","1.2 (0.72-2)","0.52","0.47"
"G645014","-0.83","0.43 (0.13-1.5)","1.7","0.19"
"G133584","-0.16","0.85 (0.44-1.7)","0.22","0.64"
"G50855","0.088","1.1 (0.74-1.6)","0.2","0.65"
"G598","-0.23","0.79 (0.48-1.3)","0.78","0.38"
"G64853","-0.14","0.87 (0.48-1.6)","0.22","0.64"
"G649700","0.02","1 (0.32-3.2)","0","0.97"
"G253832","0.04","1 (0.61-1.8)","0.02","0.88"
"G1345","0.35","1.4 (0.58-3.5)","0.58","0.45"
"G121551","0.58","1.8 (0.79-4.1)","1.9","0.16"
"G51151","-0.22","0.8 (0.25-2.6)","0.13","0.71"
"G653547","-0.56","0.57 (0.23-1.4)","1.4","0.23"
"G652593","-0.33","0.72 (0.27-1.9)","0.42","0.52"
"G391347","-0.37","0.69 (0.26-1.9)","0.53","0.47"
"G644360","0.15","1.2 (0.64-2.1)","0.23","0.63"
"G9648","-0.17","0.84 (0.54-1.3)","0.55","0.46"
"G653489","0.12","1.1 (0.59-2.2)","0.14","0.71"
"G85479","0.051","1.1 (0.71-1.6)","0.07","0.8"
"G911","0.046","1 (0.81-1.4)","0.12","0.72"
"G285489","-0.058","0.94 (0.58-1.5)","0.06","0.81"
"G4355","-0.1","0.9 (0.58-1.4)","0.19","0.66"
"G642591","-0.62","0.54 (0.2-1.5)","1.5","0.22"
"G56112","-0.81","0.45 (0.16-1.2)","2.4","0.12"
"G653664","0.66","1.9 (0.8-4.7)","2.2","0.14"
"G51548","0.34","1.4 (0.87-2.3)","2","0.16"
"G647083","-0.99","0.37 (0.18-0.77)","7.1","0.0076"
"G219927","-0.16","0.85 (0.48-1.5)","0.31","0.58"
"G64393","0.24","1.3 (0.58-2.8)","0.35","0.55"
"G3148","-0.081","0.92 (0.6-1.4)","0.14","0.71"
"G389888","0.0077","1 (0.34-3)","0","0.99"
"G115","-0.27","0.77 (0.57-1)","3","0.084"
"G652540","-0.4","0.67 (0.24-1.9)","0.55","0.46"
"G2002","-0.064","0.94 (0.42-2.1)","0.02","0.88"
"G400987","-0.09","0.91 (0.77-1.1)","1","0.31"
"G643224","0.44","1.6 (0.73-3.3)","1.3","0.25"
"G25930","-0.33","0.72 (0.47-1.1)","2.3","0.13"
"G145864","-0.058","0.94 (0.72-1.2)","0.18","0.67"
"G644250","0.078","1.1 (0.74-1.6)","0.16","0.69"
"G483","0.67","1.9 (0.94-4)","3.2","0.073"
"G7337","0.71","2 (0.85-4.9)","2.5","0.11"
"G26508","0.11","1.1 (0.71-1.7)","0.22","0.64"
"G3214","0.055","1.1 (0.76-1.5)","0.11","0.74"
"G644377","1.1","3 (1.3-6.6)","6.9","0.0087"
"G652314","-0.21","0.81 (0.53-1.2)","0.89","0.35"
"G644325","-0.45","0.64 (0.21-1.9)","0.66","0.42"
"G346562","-0.54","0.58 (0.21-1.6)","1.1","0.29"
"G7572","0.28","1.3 (0.87-2)","1.7","0.19"
"G440742","0.33","1.4 (0.59-3.3)","0.57","0.45"
"G644224","-0.13","0.88 (0.31-2.5)","0.06","0.8"
"G10420","0.051","1.1 (0.67-1.6)","0.05","0.82"
"G642110","0.32","1.4 (0.65-2.9)","0.7","0.4"
"G79754","0.094","1.1 (0.64-1.9)","0.12","0.73"
"G283551","-0.72","0.49 (0.17-1.4)","1.8","0.18"
"G2209","-0.073","0.93 (0.63-1.4)","0.13","0.71"
"G23351","-0.35","0.71 (0.36-1.4)","1.1","0.3"
"G648576","-0.041","0.96 (0.36-2.6)","0.01","0.94"
"G3689","-0.18","0.84 (0.68-1)","2.7","0.1"
"G23179","-0.0012","1 (0.63-1.6)","0","1"
"G649186","0.34","1.4 (0.76-2.6)","1.2","0.27"
"G84231","-0.0064","0.99 (0.51-1.9)","0","0.98"
"G6362","0.031","1 (0.84-1.3)","0.09","0.77"
"G414235","0.28","1.3 (0.95-1.9)","2.7","0.1"
"G2181","-0.086","0.92 (0.55-1.5)","0.11","0.74"
"G256297","0.35","1.4 (0.56-3.6)","0.55","0.46"
"G10198","0.029","1 (0.65-1.6)","0.02","0.9"
"G88","0.26","1.3 (0.77-2.2)","0.98","0.32"
"G653217","-0.41","0.67 (0.25-1.7)","0.69","0.41"
"G5367","-0.34","0.71 (0.35-1.5)","0.85","0.36"
"G649484","-1.1","0.35 (0.13-0.9)","4.8","0.029"
"G90987","0.059","1.1 (0.48-2.4)","0.02","0.89"
"G4942","0.032","1 (0.73-1.5)","0.03","0.86"
"G347292","0.15","1.2 (0.72-1.9)","0.37","0.54"
"G441378","-0.61","0.54 (0.22-1.3)","1.8","0.19"
"G25828","0.14","1.1 (0.76-1.7)","0.44","0.51"
"G283446","-0.1","0.9 (0.38-2.2)","0.05","0.82"
"G494118","0.8","2.2 (0.79-6.3)","2.3","0.13"
"G191585","-0.14","0.87 (0.41-1.9)","0.12","0.72"
"G56","0.37","1.4 (0.75-2.8)","1.2","0.27"
"G22917","0.32","1.4 (0.81-2.3)","1.4","0.24"
"G643918","-0.072","0.93 (0.42-2.1)","0.03","0.86"
"G2765","0.15","1.2 (0.53-2.6)","0.14","0.71"
"G7403","-0.17","0.85 (0.59-1.2)","0.85","0.36"
"G649169","0.22","1.2 (0.79-1.9)","0.91","0.34"
"G646168","0.5","1.6 (0.6-4.5)","0.92","0.34"
"G84896","0.24","1.3 (0.72-2.2)","0.68","0.41"
"G64581","0.46","1.6 (0.81-3.1)","1.8","0.18"
"G83862","-0.18","0.83 (0.49-1.4)","0.47","0.49"
"G4034","-0.1","0.9 (0.65-1.2)","0.39","0.53"
"G650562","-0.39","0.67 (0.25-1.8)","0.61","0.43"
"G645724","0.46","1.6 (0.54-4.6)","0.71","0.4"
"G387129","0.57","1.8 (0.68-4.6)","1.3","0.25"
"G653614","0.031","1 (0.4-2.7)","0","0.95"
"G534","0.047","1 (0.59-1.9)","0.03","0.87"
"G83989","-0.15","0.86 (0.42-1.7)","0.18","0.67"
"G10001","-0.49","0.61 (0.26-1.5)","1.2","0.27"
"G29894","-0.13","0.88 (0.58-1.3)","0.37","0.54"
"G10240","-0.58","0.56 (0.27-1.2)","2.4","0.13"
"G649986","0.084","1.1 (0.75-1.6)","0.19","0.66"
"G1947","-0.054","0.95 (0.66-1.4)","0.08","0.77"
"G3305","-0.25","0.78 (0.51-1.2)","1.4","0.24"
"G83659","0.0094","1 (0.85-1.2)","0.01","0.91"
"G23149","-0.13","0.88 (0.64-1.2)","0.59","0.44"
"G1105","0.44","1.6 (0.8-3)","1.7","0.19"
"G22821","0.69","2 (1.2-3.4)","6.2","0.012"
"G644577","0.52","1.7 (0.59-4.8)","0.93","0.34"
"G10568","-0.12","0.89 (0.74-1.1)","1.6","0.21"
"G79781","0.071","1.1 (0.83-1.4)","0.29","0.59"
"G283576","-0.041","0.96 (0.56-1.6)","0.02","0.88"
"G114915","-0.23","0.79 (0.46-1.4)","0.69","0.41"
"G51385","-0.25","0.78 (0.52-1.2)","1.5","0.22"
"G7067","0.31","1.4 (0.76-2.4)","1.1","0.3"
"G644727","0.33","1.4 (0.51-3.8)","0.41","0.52"
"G84286","-0.19","0.82 (0.53-1.3)","0.74","0.39"
"G54540","-0.049","0.95 (0.7-1.3)","0.1","0.76"
"G401190","-0.16","0.85 (0.58-1.3)","0.66","0.42"
"G652278","0.32","1.4 (0.72-2.6)","0.96","0.33"
"G643436","0.091","1.1 (0.51-2.3)","0.05","0.82"
"G55008","-0.15","0.86 (0.58-1.3)","0.53","0.47"
"G642521","0.76","2.1 (0.88-5.2)","2.8","0.095"
"G3831","0.062","1.1 (0.61-1.9)","0.05","0.83"
"G642843","-0.11","0.9 (0.41-1.9)","0.08","0.78"
"G653705","-0.12","0.89 (0.61-1.3)","0.39","0.53"
"G641950","-0.87","0.42 (0.14-1.3)","2.4","0.12"
"G442208","-0.46","0.63 (0.26-1.6)","0.99","0.32"
"G144715","-0.19","0.83 (0.34-2)","0.18","0.67"
"G79772","-0.096","0.91 (0.44-1.9)","0.07","0.8"
"G10168","0.3","1.4 (0.55-3.3)","0.44","0.51"
"G27440","0.042","1 (0.63-1.7)","0.03","0.87"
"G2287","0.34","1.4 (0.85-2.3)","1.8","0.18"
"G55103","-0.1","0.9 (0.59-1.4)","0.23","0.64"
"G84419","-0.014","0.99 (0.74-1.3)","0.01","0.92"
"G140883","-0.15","0.86 (0.6-1.3)","0.59","0.44"
"G80045","0.42","1.5 (0.73-3.2)","1.3","0.26"
"G645836","-0.29","0.75 (0.28-2)","0.33","0.56"
"G255027","0.32","1.4 (0.91-2.1)","2.3","0.13"
"G645797","-0.81","0.45 (0.13-1.5)","1.6","0.2"
"G116039","-0.085","0.92 (0.5-1.7)","0.08","0.78"
"G28232","0.034","1 (0.56-1.9)","0.01","0.91"
"G22954","0.096","1.1 (0.75-1.6)","0.25","0.62"
"G219770","0.19","1.2 (0.55-2.6)","0.22","0.64"
"G53842","0.16","1.2 (0.75-1.8)","0.47","0.49"
"G653330","-0.68","0.51 (0.2-1.3)","2.1","0.15"
"G647958","0.23","1.3 (0.46-3.5)","0.2","0.65"
"G651511","0.58","1.8 (0.96-3.3)","3.3","0.068"
"G8573","0.012","1 (0.61-1.7)","0","0.96"
"G4046","-0.038","0.96 (0.54-1.7)","0.02","0.9"
"G645355","0.15","1.2 (0.62-2.2)","0.23","0.63"
"G117854","-0.41","0.66 (0.28-1.6)","0.9","0.34"
"G439940","-0.26","0.77 (0.4-1.5)","0.59","0.44"
"G81622","-0.064","0.94 (0.63-1.4)","0.1","0.76"
"G653738","-0.32","0.73 (0.45-1.2)","1.6","0.21"
"G284942","0.14","1.2 (0.53-2.5)","0.13","0.72"
"G79137","-0.32","0.72 (0.38-1.4)","1","0.32"
"G347273","0.51","1.7 (0.93-2.9)","3","0.085"
"G1641","-0.32","0.73 (0.34-1.6)","0.67","0.41"
"G645971","-0.12","0.88 (0.32-2.4)","0.06","0.81"
"G390963","-0.11","0.9 (0.51-1.6)","0.13","0.72"
"G50","0.26","1.3 (0.82-2.1)","1.2","0.27"
"G148362","0.46","1.6 (1-2.4)","4.3","0.037"
"G5903","0.26","1.3 (0.81-2.1)","1.1","0.29"
"G648460","0.02","1 (0.4-2.6)","0","0.97"
"G391574","-0.34","0.71 (0.31-1.6)","0.67","0.41"
"G1178","-0.16","0.85 (0.49-1.5)","0.33","0.57"
"G114823","0.062","1.1 (0.73-1.6)","0.1","0.75"
"G10066","-0.36","0.7 (0.44-1.1)","2.4","0.13"
"G158035","0.87","2.4 (1.3-4.3)","8.3","0.004"
"G653285","-0.29","0.75 (0.39-1.4)","0.77","0.38"
"G649851","-0.2","0.82 (0.49-1.4)","0.57","0.45"
"G646786","-0.036","0.96 (0.68-1.4)","0.04","0.84"
"G374654","0.11","1.1 (0.78-1.6)","0.37","0.54"
"G3189","-0.26","0.77 (0.31-1.9)","0.31","0.58"
"G642718","-0.15","0.86 (0.35-2.1)","0.1","0.75"
"G10959","0.21","1.2 (0.82-1.8)","1","0.32"
"G4782","-0.21","0.81 (0.44-1.5)","0.45","0.5"
"G1788","-0.3","0.74 (0.29-1.9)","0.38","0.54"
"G65982","-0.065","0.94 (0.67-1.3)","0.14","0.71"
"G650744","0.1","1.1 (0.47-2.6)","0.06","0.81"
"G646804","-0.51","0.6 (0.27-1.4)","1.5","0.22"
"G51435","-0.18","0.84 (0.55-1.3)","0.7","0.4"
"G642804","-0.18","0.84 (0.43-1.6)","0.27","0.6"
"G647649","-0.58","0.56 (0.091-3.4)","0.4","0.53"
"G146183","-0.036","0.96 (0.14-6.8)","0","0.97"
"G80867","0.15","1.2 (0.67-2)","0.27","0.6"
"G5024","0.66","1.9 (0.48-7.8)","0.88","0.35"
"G55671","-0.046","0.95 (0.46-2)","0.02","0.9"
"G728492","0.29","1.3 (0.78-2.3)","1.1","0.3"
"G647979","-0.085","0.92 (0.47-1.8)","0.06","0.8"
"G10999","0.17","1.2 (0.67-2.1)","0.34","0.56"
"G648604","-1.1","0.32 (0.056-1.8)","1.7","0.2"
